Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
705.0,0,977.9487304688,5420.1284179688,6363.0771484375,2331.794921875,1332.3077392578,1254.6153564453,7827.1796875,4053.58984375,8005.5126953125,6441.0258789063,1430.8974609375,3458.0769042969,1834.2307128906,2076.1538085938,5320.384765625,6468.58984375,Lamp,audio,get_ready
705.0078125,0,8123.974609375,3225.1281738281,4857.1796875,4271.2822265625,4064.2307128906,13.4615297318,5595.2563476563,3951.0256347656,6831.794921875,368.2051086426,2714.3588867188,2354.8718261719,550.7692260742,2450.8974609375,6294.3588867188,7622.9487304688,Lamp,audio,get_ready
705.015625,0,3598.4614257813,5357.8203125,1882.6922607422,708.2051391602,6268.7177734375,449.2307739258,5130.1284179688,5595.8974609375,4760.5126953125,8370.5126953125,2445.2563476563,5556.41015625,4981.41015625,1328.0769042969,180.2564086914,906.6666870117,Lamp,audio,get_ready
705.0234375,0,908.4615478516,4466.2822265625,7985.6411132813,3106.5385742188,6892.6923828125,2266.1538085938,3003.58984375,6599.1025390625,7869.3588867188,7450.0,6054.615234375,621.282043457,1633.9743652344,6620.7690429688,3123.205078125,132.8205108643,Lamp,audio,get_ready
705.03125,0,1038.205078125,3938.3332519531,4711.1538085938,6700.8974609375,6905.1284179688,7387.3076171875,3116.6667480469,3762.1794433594,2553.8461914063,8247.3076171875,4615.1284179688,2575.5126953125,2369.7436523438,5559.8715820313,4620.1284179688,1512.4359130859,Lamp,audio,get_ready
705.0390625,0,6165.0,8199.615234375,4046.6667480469,7722.8203125,7086.1538085938,3928.4614257813,5165.384765625,3726.2819824219,7272.4360351563,2957.5642089844,5997.6923828125,1729.8718261719,4453.0771484375,4630.8974609375,3394.8718261719,6366.6665039063,Lamp,audio,get_ready
705.046875,0,5027.4360351563,1392.4359130859,3836.0256347656,5939.4873046875,6821.9228515625,3927.6923828125,4320.6411132813,3119.4870605469,1166.6666259766,5164.4873046875,5839.8715820313,6327.6923828125,28.9743499756,4022.0512695313,5587.0512695313,4548.205078125,Lamp,audio,get_ready
705.0546875,0,3949.6154785156,8127.0512695313,752.3076782227,2543.8461914063,5606.41015625,6738.58984375,4342.9487304688,8372.8203125,8346.025390625,3536.1538085938,1763.7178955078,507.4358825684,4051.1538085938,4695.384765625,419.3589782715,15.7692222595,Lamp,audio,get_ready
705.0625,0,2467.0512695313,5750.7690429688,8291.025390625,1421.4102783203,2776.6667480469,5800.1284179688,4189.7436523438,5921.794921875,5374.615234375,4613.4614257813,8238.845703125,7427.6923828125,3104.2307128906,3803.4614257813,3942.9487304688,1355.2563476563,Lamp,audio,get_ready
705.0703125,0,6379.2309570313,2066.794921875,6850.8974609375,3987.3076171875,5575.384765625,5334.8715820313,1085.3846435547,1309.3590087891,5596.2822265625,4394.3588867188,4115.0,1780.1281738281,7488.974609375,2833.205078125,6217.0512695313,6987.6923828125,Lamp,audio,get_ready
705.078125,0,6095.384765625,1371.5384521484,1568.205078125,7659.4873046875,7967.0512695313,6174.2309570313,3734.1025390625,2055.8974609375,5273.9741210938,453.461517334,1383.8461914063,3930.5129394531,7363.58984375,3736.794921875,786.7948608398,6564.4873046875,Lamp,audio,get_ready
705.0859375,0,1342.9487304688,5645.7690429688,2844.8718261719,8184.4873046875,1540.6409912109,1312.0512695313,7480.6411132813,2956.6667480469,3448.4614257813,5750.2563476563,1607.5640869141,6554.1025390625,546.1538085938,3035.8974609375,6190.0,7153.8461914063,Lamp,audio,get_ready
705.09375,0,1419.6153564453,3246.41015625,486.6666564941,181.282043457,4011.41015625,2260.3845214844,7576.9228515625,3809.1025390625,5536.2822265625,3388.7180175781,8188.974609375,5327.5639648438,3142.3076171875,6891.6665039063,5653.7177734375,6919.1025390625,Lamp,audio,get_ready
705.1015625,0,7866.5385742188,7213.3334960938,1446.9230957031,5704.4873046875,2657.9487304688,3299.8718261719,1633.0769042969,6572.8203125,52.9487075806,2910.7692871094,6368.7177734375,3185.5129394531,1250.5128173828,4536.0258789063,6907.1796875,6917.8203125,Lamp,audio,get_ready
705.109375,0,8391.6669921875,5639.4873046875,4275.7690429688,6934.2309570313,526.7948608398,2248.0769042969,4777.6923828125,6983.7177734375,1302.4359130859,7662.4360351563,3972.3076171875,3581.5385742188,2164.8718261719,4380.8974609375,194.8717803955,2182.9487304688,Lamp,audio,get_ready
705.1171875,0,3592.3076171875,6982.6923828125,4368.58984375,7666.41015625,6340.2563476563,2636.6667480469,7021.5385742188,8024.1025390625,1011.7948608398,8252.564453125,2105.6411132813,3868.7180175781,7373.4614257813,1990.7691650391,5157.9487304688,5485.7690429688,Lamp,audio,get_ready
705.125,0,142.3076782227,4276.2822265625,7188.9741210938,5944.7436523438,5802.8203125,7256.2822265625,1091.9230957031,3099.2307128906,4445.5126953125,5309.1025390625,4939.3588867188,1141.2821044922,3262.3076171875,2252.6923828125,1066.0256347656,1383.7178955078,Lamp,audio,get_ready
705.1328125,0,4978.205078125,4569.1025390625,8387.0517578125,2773.3332519531,6315.7690429688,3121.5385742188,6174.8715820313,7634.7436523438,1400.1281738281,7838.58984375,1735.3846435547,2302.5642089844,1280.6409912109,1511.794921875,4836.2822265625,7166.0258789063,Lamp,audio,get_ready
705.140625,0,6784.615234375,5357.1796875,7867.5639648438,6523.4614257813,5509.2309570313,294.1025695801,186.1538391113,1074.6153564453,6735.6411132813,6635.5126953125,7520.6411132813,2560.2563476563,893.8461303711,5968.205078125,1553.8461914063,5377.6923828125,Lamp,audio,get_ready
705.1484375,0,8328.974609375,5797.4360351563,5538.7177734375,4473.9741210938,7106.41015625,524.3589477539,6539.8715820313,676.0256347656,427.9486999512,953.0769042969,2637.8205566406,6318.9741210938,7476.0258789063,8019.1025390625,4412.0512695313,3447.5642089844,Lamp,audio,get_ready
705.15625,0,4973.0771484375,7806.41015625,1303.7178955078,2283.7180175781,4288.7177734375,1448.7178955078,5424.8715820313,6031.2822265625,4069.1025390625,2415.8974609375,1565.8974609375,6572.9487304688,6807.0512695313,6548.7177734375,4282.4360351563,2188.58984375,Lamp,audio,get_ready
705.1640625,0,1447.0512695313,3095.2563476563,5219.2309570313,8124.4873046875,3831.0256347656,3455.7692871094,7811.794921875,310.0,559.2307739258,1661.4102783203,2848.3332519531,1180.2563476563,7110.6411132813,403.8461608887,2724.6154785156,2678.58984375,Lamp,audio,get_ready
705.171875,0,5627.1796875,2107.0512695313,2737.4357910156,6232.4360351563,3054.6154785156,5320.5126953125,1066.1538085938,3480.3845214844,513.2051391602,812.1795043945,7953.205078125,3800.7692871094,3654.2307128906,417.179473877,4781.41015625,5833.58984375,Lamp,audio,get_ready
705.1796875,0,3129.7436523438,3370.7692871094,249.4871673584,1025.2563476563,6754.7436523438,2448.3332519531,4626.9228515625,5302.3076171875,5909.615234375,3417.5642089844,4343.58984375,2445.6411132813,7593.8461914063,7514.615234375,7866.6665039063,3189.6154785156,Lamp,audio,get_ready
705.1875,0,4522.5639648438,2141.41015625,2793.8461914063,5124.3588867188,514.6153564453,4404.1025390625,2917.3076171875,4794.3588867188,7757.5639648438,6491.9228515625,4311.41015625,4777.3076171875,1380.8974609375,1458.4615478516,7108.3334960938,3993.8461914063,Lamp,audio,get_ready
705.1953125,0,3479.1025390625,4149.8715820313,660.2564086914,4408.0771484375,6038.7177734375,7791.0258789063,1598.205078125,172.179473877,2842.1794433594,1550.7691650391,8187.6923828125,8302.9482421875,2444.2307128906,6144.615234375,3716.5385742188,5243.3334960938,Lamp,audio,get_ready
705.203125,0,3344.6154785156,8065.6411132813,3419.2307128906,8170.384765625,7043.7177734375,5309.3588867188,2886.2819824219,6513.205078125,7140.384765625,5731.2822265625,7493.4614257813,1602.9487304688,4018.205078125,5350.8974609375,6278.0771484375,4985.384765625,Lamp,audio,get_ready
705.2109375,0,5645.1284179688,2090.8974609375,4601.6665039063,4371.41015625,3284.8718261719,6320.1284179688,4855.2563476563,1830.8974609375,247.179473877,7541.1538085938,3503.8461914063,5578.3334960938,2512.5642089844,6679.4873046875,1832.1794433594,414.8717956543,Lamp,audio,get_ready
705.21875,0,2507.5642089844,1171.1538085938,2684.4870605469,431.0256347656,4152.5639648438,7692.0512695313,3247.1794433594,811.282043457,6655.6411132813,3453.3332519531,6493.4614257813,909.3589477539,3696.6667480469,5695.0,972.6923217773,7377.0512695313,Lamp,audio,get_ready
