Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
5.0,0,7349.2309570313,789.8717651367,7182.9487304688,857.5640869141,4353.205078125,896.282043457,696.1538085938,2344.7436523438,2347.5642089844,6413.205078125,5884.4873046875,4796.2822265625,2571.41015625,7396.5385742188,1846.1538085938,846.282043457,Lamp,audio,start_slide
5.0078125,0,5923.3334960938,6240.384765625,5320.2563476563,5171.6665039063,580.6409912109,7067.5639648438,7893.0771484375,7574.3588867188,2823.4614257813,2654.1025390625,4241.2822265625,8092.9487304688,6246.2822265625,3572.6923828125,4595.7690429688,293.2051086426,Lamp,audio,start_slide
5.015625,0,6131.794921875,6327.6923828125,1134.2307128906,646.4102783203,3829.4870605469,6544.1025390625,155.8974304199,5138.3334960938,1537.6922607422,2170.2563476563,1635.0,4295.5126953125,97.6922988892,3969.6154785156,7948.0771484375,6033.4614257813,Lamp,audio,start_slide
5.0234375,0,747.4359130859,7636.5385742188,2453.205078125,2055.6411132813,2474.1025390625,2243.7180175781,5789.7436523438,2599.8718261719,5151.0258789063,2250.7692871094,4682.0512695313,5064.4873046875,2299.7436523438,8167.1796875,6547.6923828125,6197.9487304688,Lamp,audio,start_slide
5.03125,0,6330.6411132813,7065.2563476563,1303.0769042969,1096.6666259766,7527.3076171875,6925.0,7761.5385742188,124.9999923706,3478.8461914063,59.1025543213,792.9487304688,4207.0512695313,4174.1025390625,2510.1281738281,5179.7436523438,887.1795043945,Lamp,audio,start_slide
5.0390625,0,7401.2822265625,3769.6154785156,3864.6154785156,261.4102478027,6318.9741210938,943.0769042969,4131.6665039063,4477.4360351563,5508.9741210938,6910.8974609375,409.1025695801,4974.1025390625,1504.2307128906,1651.794921875,5144.3588867188,4660.8974609375,Lamp,audio,start_slide
5.046875,0,4453.0771484375,881.5384521484,7261.41015625,1229.4871826172,6125.2563476563,2001.5384521484,7617.6923828125,8374.7431640625,4919.7436523438,8299.7431640625,1047.8205566406,7308.58984375,2696.794921875,4590.2563476563,31.9230670929,3717.0512695313,Lamp,audio,start_slide
5.0546875,0,3044.1025390625,4665.2563476563,5643.9741210938,3638.8461914063,5211.41015625,1661.1538085938,5795.5126953125,6857.0512695313,5827.3076171875,3363.3332519531,3050.1281738281,975.1281738281,6509.1025390625,3112.4357910156,2232.4357910156,1337.3077392578,Lamp,audio,start_slide
5.0625,0,3391.0256347656,5447.1796875,2608.205078125,7687.9487304688,4358.4614257813,152.179473877,3391.794921875,2268.9743652344,5.6410164833,4668.4614257813,5389.8715820313,2837.0512695313,7224.1025390625,2032.3077392578,6022.6923828125,2280.2563476563,Lamp,audio,start_slide
5.0703125,0,2342.0512695313,6139.4873046875,2957.6923828125,536.9230957031,4595.2563476563,5272.8203125,7134.7436523438,2433.8461914063,3487.0512695313,3680.5129394531,8260.76953125,5610.5126953125,8290.5126953125,862.1795043945,7479.2309570313,5349.2309570313,Lamp,audio,start_slide
5.078125,0,90.8974304199,6474.3588867188,5461.6665039063,6836.0258789063,7687.5639648438,4795.384765625,5802.6923828125,4049.8718261719,2521.794921875,3192.6923828125,4014.1025390625,2777.5642089844,4256.2822265625,5040.0,1658.8461914063,2971.9230957031,Lamp,audio,start_slide
5.0859375,0,3787.1794433594,4020.7692871094,3098.0769042969,3085.8974609375,2506.1538085938,6442.0512695313,4722.0512695313,3734.2307128906,3762.6923828125,4201.5385742188,6575.0,507.179473877,7336.5385742188,5199.615234375,8266.41015625,2085.3845214844,Lamp,audio,start_slide
5.09375,0,6221.9228515625,1902.1794433594,6007.9487304688,1576.6666259766,4080.8974609375,150.2564086914,7811.0258789063,2176.0256347656,6472.3076171875,366.6666564941,3950.5129394531,226.4102478027,3496.9230957031,7335.6411132813,1327.0512695313,903.5897216797,Lamp,audio,start_slide
5.1015625,0,1008.2051391602,2855.7692871094,47.8205032349,3561.794921875,4562.1796875,1026.0256347656,764.3589477539,7566.5385742188,7020.7690429688,7343.3334960938,4549.3588867188,2168.9743652344,6943.3334960938,7331.2822265625,25.5128116608,107.9487075806,Lamp,audio,start_slide
5.109375,0,2720.6411132813,2461.5385742188,4448.0771484375,3085.3845214844,1837.4359130859,6291.41015625,7545.8974609375,4378.4614257813,1299.2307128906,5335.2563476563,4399.4873046875,408.5897216797,4139.1025390625,5115.8974609375,6308.8461914063,1249.2307128906,Lamp,audio,start_slide
5.1171875,0,5433.205078125,2336.9230957031,7509.4873046875,923.0769042969,4716.5385742188,4916.5385742188,4460.2563476563,7054.3588867188,4152.8203125,1858.3333740234,287.179473877,2464.1025390625,2577.1794433594,8314.4873046875,2165.5126953125,5763.58984375,Lamp,audio,start_slide
5.125,0,6316.0258789063,7725.5126953125,663.2051391602,1874.1025390625,6297.8203125,1858.8461914063,5517.1796875,2191.1538085938,4216.41015625,4483.8461914063,3990.7692871094,390.5128173828,6665.384765625,5972.6923828125,4139.8715820313,6974.4873046875,Lamp,audio,start_slide
5.1328125,0,949.2307739258,3118.4614257813,2850.2563476563,4739.8715820313,6145.384765625,124.7435836792,5056.794921875,1829.6153564453,6931.9228515625,6413.8461914063,7929.2309570313,4212.8203125,8048.4614257813,7513.3334960938,5685.1284179688,2198.8461914063,Lamp,audio,start_slide
5.140625,0,173.0769195557,7325.6411132813,1915.5128173828,7462.5639648438,4431.41015625,4720.7690429688,2522.0512695313,2511.1538085938,4908.58984375,2858.3332519531,1071.6666259766,7060.2563476563,2666.794921875,989.7435913086,311.0256347656,1925.1281738281,Lamp,audio,start_slide
5.1484375,0,6020.384765625,5978.7177734375,7252.0512695313,7827.8203125,716.1538085938,5034.8715820313,8115.2563476563,5416.9228515625,4331.794921875,205.8974304199,5967.1796875,1781.2821044922,4939.615234375,1252.0512695313,1122.4359130859,4372.9487304688,Lamp,audio,start_slide
5.15625,0,6048.205078125,4541.6665039063,7230.6411132813,2932.6923828125,2451.0256347656,3992.9487304688,246.1538391113,2730.6411132813,5358.205078125,5231.6665039063,4039.7436523438,6786.5385742188,1091.794921875,2409.1025390625,3549.8718261719,87.9487075806,Lamp,audio,start_slide
5.1640625,0,6490.384765625,7629.2309570313,2632.5642089844,2147.4357910156,758.5897216797,4746.6665039063,3545.5129394531,2374.8718261719,2954.1025390625,3077.1794433594,3513.205078125,2970.0,349.6153869629,1114.8718261719,1549.8718261719,1570.5128173828,Lamp,audio,start_slide
5.171875,0,5020.1284179688,663.2051391602,3573.7180175781,2938.8461914063,5768.4614257813,4172.1796875,585.2564086914,6838.58984375,3057.1794433594,909.2307739258,397.4358825684,2267.4357910156,2460.0,3120.8974609375,5607.9487304688,4262.5639648438,Lamp,audio,start_slide
5.1796875,0,3337.9487304688,3309.1025390625,4064.2307128906,8267.0517578125,3105.6411132813,6981.1538085938,3596.0256347656,7169.615234375,4951.1538085938,6981.9228515625,4578.7177734375,3292.0512695313,7228.7177734375,2752.6923828125,3108.8461914063,4157.4360351563,Lamp,audio,start_slide
5.1875,0,4179.1025390625,1430.6409912109,5133.8461914063,626.1538085938,4877.9487304688,240.2564086914,3393.9743652344,3575.6411132813,1312.6922607422,4660.384765625,3051.0256347656,7481.794921875,1026.0256347656,4012.8205566406,562.1795043945,6783.0771484375,Lamp,audio,start_slide
5.1953125,0,4094.8718261719,2398.0769042969,6344.8715820313,428.8461608887,8375.76953125,3256.2819824219,5247.8203125,8122.8203125,5459.4873046875,4703.9741210938,8231.9228515625,180.2564086914,4274.3588867188,2312.1794433594,35.256401062,3001.5385742188,Lamp,audio,start_slide
5.203125,0,3033.0769042969,6800.1284179688,1565.8974609375,4056.6667480469,6043.9741210938,3400.7692871094,679.8717651367,4362.6923828125,4492.0512695313,4720.8974609375,6236.2822265625,6248.4614257813,7711.41015625,3627.1794433594,7990.384765625,2850.2563476563,Lamp,audio,start_slide
5.2109375,0,6664.2309570313,1072.9487304688,362.6922912598,1616.2821044922,905.8973999023,823.717956543,5108.7177734375,2456.5385742188,6707.4360351563,5178.7177734375,8152.1796875,2415.3845214844,1988.7178955078,8051.5385742188,5746.0258789063,8168.58984375,Lamp,audio,start_slide
5.21875,0,8204.4873046875,1517.4359130859,7979.2309570313,4934.7436523438,5484.3588867188,567.8204956055,6224.2309570313,1508.4615478516,6034.8715820313,6809.1025390625,2528.4614257813,3093.8461914063,6640.6411132813,6313.8461914063,5131.794921875,2448.4614257813,Lamp,audio,start_slide
5.2265625,0,1810.5128173828,5924.7436523438,5385.1284179688,1625.7691650391,2098.58984375,4678.58984375,7800.1284179688,5675.2563476563,5042.0512695313,6961.6665039063,4370.1284179688,6156.6665039063,3855.7692871094,1546.794921875,4154.8715820313,6123.9741210938,Lamp,audio,start_slide
5.234375,0,252.179473877,2163.8461914063,6683.9741210938,3888.0769042969,4591.794921875,3070.8974609375,5882.0512695313,4343.8461914063,6304.8715820313,6518.4614257813,2932.8205566406,118.3333282471,1485.0,2402.4357910156,2145.6411132813,3874.8718261719,Lamp,audio,start_slide
5.2421875,0,6849.4873046875,4577.8203125,617.8204956055,3162.6923828125,4184.4873046875,6091.794921875,2419.8718261719,1206.9230957031,5067.1796875,4209.4873046875,2201.794921875,4356.0258789063,3845.1281738281,6202.1796875,6494.4873046875,4729.3588867188,Lamp,audio,start_slide
5.25,0,2057.8205566406,2389.1025390625,137.179473877,4625.7690429688,4591.794921875,4404.615234375,1417.9487304688,459.7435913086,5024.4873046875,2285.0,5588.9741210938,7468.4614257813,3991.2819824219,8063.58984375,237.5640869141,4157.9487304688,Lamp,audio,start_slide
5.2578125,0,4798.7177734375,2262.9487304688,6233.58984375,2720.1281738281,7227.5639648438,4970.384765625,3525.6411132813,591.0256347656,3779.1025390625,3100.7692871094,2028.8461914063,2368.7180175781,5328.9741210938,1203.9743652344,6783.8461914063,3097.3076171875,Lamp,audio,start_slide
5.265625,0,1008.3333129883,4598.205078125,3325.1281738281,4665.5126953125,3126.5385742188,2002.4359130859,2160.3845214844,2806.9230957031,8395.5126953125,6377.8203125,2693.7180175781,1519.3590087891,1626.4102783203,1736.0256347656,2983.7180175781,2676.1538085938,Lamp,audio,start_slide
5.2734375,0,3958.0769042969,4209.4873046875,8400.384765625,154.7435760498,7671.1538085938,5070.5126953125,5546.9228515625,7729.2309570313,36.4102478027,993.8461303711,2575.6411132813,104.8717880249,2899.4870605469,6487.3076171875,171.7948608398,3378.205078125,Lamp,audio,start_slide
5.28125,0,5163.58984375,5814.8715820313,5745.2563476563,839.2307739258,6756.1538085938,5352.1796875,1767.8205566406,1481.4102783203,3128.7180175781,2915.1281738281,2035.5128173828,3678.58984375,3767.1794433594,2300.3845214844,3153.205078125,6016.5385742188,Lamp,audio,start_slide
5.2890625,0,7038.9741210938,5322.8203125,1336.4102783203,1692.6922607422,5925.6411132813,7439.1025390625,1277.1794433594,8204.4873046875,5528.0771484375,4037.1794433594,5311.9228515625,3911.2819824219,6714.4873046875,2464.1025390625,2710.7692871094,1398.5897216797,Lamp,audio,start_slide
5.296875,0,7176.9228515625,3645.2563476563,4993.7177734375,5110.1284179688,7814.3588867188,8341.41015625,2011.0256347656,265.3846130371,7653.974609375,7094.2309570313,4612.0512695313,4155.1284179688,4754.1025390625,3485.1281738281,2535.3845214844,5030.8974609375,Lamp,audio,start_slide
5.3046875,0,2911.794921875,718.5897216797,7498.7177734375,2214.3588867188,6271.6665039063,2553.0769042969,872.5640869141,5756.6665039063,2212.5642089844,4968.9741210938,6.4102473259,4871.5385742188,660.8973999023,3794.8718261719,2462.1794433594,5160.5126953125,Lamp,audio,start_slide
5.3125,0,354.7435913086,791.6666870117,7124.4873046875,4841.9228515625,7747.0512695313,4415.8974609375,5830.6411132813,5157.3076171875,2359.6154785156,8112.4360351563,7725.8974609375,4452.1796875,1039.2307128906,2636.9230957031,1779.7435302734,3138.7180175781,Lamp,audio,start_slide
5.3203125,0,1574.8718261719,373.2051086426,1734.4871826172,4394.2309570313,6548.7177734375,7283.58984375,3390.7692871094,5732.8203125,3098.9743652344,1440.7691650391,1776.0256347656,1303.4615478516,7272.9487304688,7912.0512695313,7331.2822265625,839.3589477539,Lamp,audio,start_slide
5.328125,0,7324.3588867188,2628.7180175781,4895.384765625,2163.4614257813,4860.0,3074.7436523438,704.6153564453,8284.359375,3292.8205566406,8233.0771484375,6053.205078125,828.5897216797,5475.1284179688,6138.7177734375,7418.7177734375,6350.1284179688,Lamp,audio,start_slide
5.3359375,0,96.9230651855,6937.8203125,1235.5128173828,876.282043457,3646.0256347656,4911.794921875,114.8717880249,5548.205078125,6156.41015625,7974.4873046875,3253.0769042969,7070.0,4759.2309570313,5550.2563476563,5150.7690429688,5028.58984375,Lamp,audio,start_slide
