Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
705.0000000000,0,977.9487304688,5420.1284179688,6363.0771484375,2331.7949218750,1332.3077392578,1254.6153564453,7827.1796875000,4053.5898437500,8005.5126953125,6441.0258789063,1430.8974609375,3458.0769042969,1834.2307128906,2076.1538085938,5320.3847656250,6468.5898437500,,,
705.0078125000,0,8123.9746093750,3225.1281738281,4857.1796875000,4271.2822265625,4064.2307128906,13.4615297318,5595.2563476563,3951.0256347656,6831.7949218750,368.2051086426,2714.3588867188,2354.8718261719,550.7692260742,2450.8974609375,6294.3588867188,7622.9487304688,,,
705.0156250000,0,3598.4614257813,5357.8203125000,1882.6922607422,708.2051391602,6268.7177734375,449.2307739258,5130.1284179688,5595.8974609375,4760.5126953125,8370.5126953125,2445.2563476563,5556.4101562500,4981.4101562500,1328.0769042969,180.2564086914,906.6666870117,,,
705.0234375000,0,908.4615478516,4466.2822265625,7985.6411132813,3106.5385742188,6892.6923828125,2266.1538085938,3003.5898437500,6599.1025390625,7869.3588867188,7450.0000000000,6054.6152343750,621.2820434570,1633.9743652344,6620.7690429688,3123.2050781250,132.8205108643,,,
705.0312500000,0,1038.2050781250,3938.3332519531,4711.1538085938,6700.8974609375,6905.1284179688,7387.3076171875,3116.6667480469,3762.1794433594,2553.8461914063,8247.3076171875,4615.1284179688,2575.5126953125,2369.7436523438,5559.8715820313,4620.1284179688,1512.4359130859,,,
705.0390625000,0,6165.0000000000,8199.6152343750,4046.6667480469,7722.8203125000,7086.1538085938,3928.4614257813,5165.3847656250,3726.2819824219,7272.4360351563,2957.5642089844,5997.6923828125,1729.8718261719,4453.0771484375,4630.8974609375,3394.8718261719,6366.6665039063,,,
705.0468750000,0,5027.4360351563,1392.4359130859,3836.0256347656,5939.4873046875,6821.9228515625,3927.6923828125,4320.6411132813,3119.4870605469,1166.6666259766,5164.4873046875,5839.8715820313,6327.6923828125,28.9743499756,4022.0512695313,5587.0512695313,4548.2050781250,,,
705.0546875000,0,3949.6154785156,8127.0512695313,752.3076782227,2543.8461914063,5606.4101562500,6738.5898437500,4342.9487304688,8372.8203125000,8346.0253906250,3536.1538085938,1763.7178955078,507.4358825684,4051.1538085938,4695.3847656250,419.3589782715,15.7692222595,,,
705.0625000000,0,2467.0512695313,5750.7690429688,8291.0253906250,1421.4102783203,2776.6667480469,5800.1284179688,4189.7436523438,5921.7949218750,5374.6152343750,4613.4614257813,8238.8457031250,7427.6923828125,3104.2307128906,3803.4614257813,3942.9487304688,1355.2563476563,,,
705.0703125000,0,6379.2309570313,2066.7949218750,6850.8974609375,3987.3076171875,5575.3847656250,5334.8715820313,1085.3846435547,1309.3590087891,5596.2822265625,4394.3588867188,4115.0000000000,1780.1281738281,7488.9746093750,2833.2050781250,6217.0512695313,6987.6923828125,,,
705.0781250000,0,6095.3847656250,1371.5384521484,1568.2050781250,7659.4873046875,7967.0512695313,6174.2309570313,3734.1025390625,2055.8974609375,5273.9741210938,453.4615173340,1383.8461914063,3930.5129394531,7363.5898437500,3736.7949218750,786.7948608398,6564.4873046875,,,
