Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
5.0000000000,0,7349.2309570313,789.8717651367,7182.9487304688,857.5640869141,4353.2050781250,896.2820434570,696.1538085938,2344.7436523438,2347.5642089844,6413.2050781250,5884.4873046875,4796.2822265625,2571.4101562500,7396.5385742188,1846.1538085938,846.2820434570,,,
5.0078125000,0,5923.3334960938,6240.3847656250,5320.2563476563,5171.6665039063,580.6409912109,7067.5639648438,7893.0771484375,7574.3588867188,2823.4614257813,2654.1025390625,4241.2822265625,8092.9487304688,6246.2822265625,3572.6923828125,4595.7690429688,293.2051086426,,,
5.0156250000,0,6131.7949218750,6327.6923828125,1134.2307128906,646.4102783203,3829.4870605469,6544.1025390625,155.8974304199,5138.3334960938,1537.6922607422,2170.2563476563,1635.0000000000,4295.5126953125,97.6922988892,3969.6154785156,7948.0771484375,6033.4614257813,,,
5.0234375000,0,747.4359130859,7636.5385742188,2453.2050781250,2055.6411132813,2474.1025390625,2243.7180175781,5789.7436523438,2599.8718261719,5151.0258789063,2250.7692871094,4682.0512695313,5064.4873046875,2299.7436523438,8167.1796875000,6547.6923828125,6197.9487304688,,,
5.0312500000,0,6330.6411132813,7065.2563476563,1303.0769042969,1096.6666259766,7527.3076171875,6925.0000000000,7761.5385742188,124.9999923706,3478.8461914063,59.1025543213,792.9487304688,4207.0512695313,4174.1025390625,2510.1281738281,5179.7436523438,887.1795043945,,,
5.0390625000,0,7401.2822265625,3769.6154785156,3864.6154785156,261.4102478027,6318.9741210938,943.0769042969,4131.6665039063,4477.4360351563,5508.9741210938,6910.8974609375,409.1025695801,4974.1025390625,1504.2307128906,1651.7949218750,5144.3588867188,4660.8974609375,,,
5.0468750000,0,4453.0771484375,881.5384521484,7261.4101562500,1229.4871826172,6125.2563476563,2001.5384521484,7617.6923828125,8374.7431640625,4919.7436523438,8299.7431640625,1047.8205566406,7308.5898437500,2696.7949218750,4590.2563476563,31.9230670929,3717.0512695313,,,
5.0546875000,0,3044.1025390625,4665.2563476563,5643.9741210938,3638.8461914063,5211.4101562500,1661.1538085938,5795.5126953125,6857.0512695313,5827.3076171875,3363.3332519531,3050.1281738281,975.1281738281,6509.1025390625,3112.4357910156,2232.4357910156,1337.3077392578,,,
5.0625000000,0,3391.0256347656,5447.1796875000,2608.2050781250,7687.9487304688,4358.4614257813,152.1794738770,3391.7949218750,2268.9743652344,5.6410164833,4668.4614257813,5389.8715820313,2837.0512695313,7224.1025390625,2032.3077392578,6022.6923828125,2280.2563476563,,,
5.0703125000,0,2342.0512695313,6139.4873046875,2957.6923828125,536.9230957031,4595.2563476563,5272.8203125000,7134.7436523438,2433.8461914063,3487.0512695313,3680.5129394531,8260.7695312500,5610.5126953125,8290.5126953125,862.1795043945,7479.2309570313,5349.2309570313,,,
