Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
705.0,0,2241.1538085938,3106.41015625,5166.794921875,3686.5385742188,4155.0,5252.8203125,7883.58984375,5312.1796875,1303.5897216797,6891.1538085938,7522.1796875,980.1281738281,4097.8203125,7022.5639648438,3171.6667480469,4786.9228515625,Lamp,audio,get_ready
705.0078125,0,8364.359375,304.6153869629,7378.58984375,2285.7692871094,2781.41015625,4224.3588867188,1110.0,3549.4870605469,3363.58984375,7335.1284179688,3286.1538085938,7231.6665039063,2174.8718261719,1733.205078125,6445.5126953125,4456.6665039063,Lamp,audio,get_ready
705.015625,0,8389.615234375,6275.7690429688,6676.794921875,5243.7177734375,1754.8718261719,2312.5642089844,3561.0256347656,1420.5128173828,2473.8461914063,8105.6411132813,7273.205078125,6185.6411132813,568.2051391602,6596.41015625,3078.3332519531,7353.205078125,Lamp,audio,get_ready
705.0234375,0,6179.8715820313,6740.7690429688,2885.1281738281,2289.1025390625,5592.3076171875,1898.3333740234,762.8204956055,1280.0,3545.8974609375,3930.1281738281,4263.9741210938,7669.1025390625,448.461517334,4412.5639648438,4367.9487304688,580.8973999023,Lamp,audio,get_ready
705.03125,0,2359.8718261719,3178.8461914063,5406.2822265625,7312.6923828125,5412.5639648438,5363.7177734375,6222.1796875,3915.0,7133.9741210938,7553.8461914063,7543.7177734375,1944.8718261719,2118.8461914063,1025.1281738281,5714.615234375,1721.794921875,Lamp,audio,get_ready
705.0390625,0,3085.1281738281,5337.6923828125,5436.794921875,7831.9228515625,4761.1538085938,3157.4357910156,1543.9743652344,2634.1025390625,4359.3588867188,5617.1796875,7238.58984375,8342.6923828125,7596.2822265625,7926.5385742188,38.076915741,4111.6665039063,Lamp,audio,get_ready
705.046875,0,3389.2307128906,6711.794921875,6253.3334960938,5916.0258789063,5707.3076171875,0.6410166621,4812.1796875,1709.3590087891,7867.4360351563,5383.3334960938,2046.4102783203,4456.5385742188,5077.4360351563,6268.7177734375,3395.7692871094,7857.4360351563,Lamp,audio,get_ready
705.0546875,0,2963.9743652344,7295.0,3810.1281738281,2167.9487304688,3009.3588867188,7516.41015625,7750.6411132813,5789.2309570313,809.6153564453,2277.9487304688,6162.9487304688,489.3589782715,7916.41015625,7975.0,3479.1025390625,8037.1796875,Lamp,audio,get_ready
705.0625,0,820.1281738281,7108.3334960938,3459.8718261719,4096.1538085938,4331.794921875,4061.5385742188,4069.1025390625,5112.8203125,5216.1538085938,7376.1538085938,3703.9743652344,317.0512695313,1975.2563476563,206.6666564941,4516.1538085938,2820.5129394531,Lamp,audio,get_ready
705.0703125,0,2838.3332519531,7828.205078125,691.1538085938,7848.0771484375,1526.6666259766,1577.9487304688,1112.3077392578,6348.205078125,1471.1538085938,5083.0771484375,1591.794921875,7802.0512695313,293.9743652344,3841.5385742188,3385.2563476563,1703.8461914063,Lamp,audio,get_ready
