Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
5.0,0,420.2564086914,2026.5384521484,4443.58984375,1372.3077392578,7251.794921875,1696.1538085938,6054.2309570313,4058.3332519531,3109.6154785156,2963.8461914063,1999.4871826172,2476.2819824219,6124.2309570313,629.7435913086,4110.5126953125,7893.3334960938,Lamp,audio,start_slide
5.0078125,0,2752.4357910156,2214.1025390625,4756.2822265625,7010.5126953125,7305.1284179688,3258.3332519531,2488.4614257813,953.8461303711,7779.1025390625,3345.0,6517.0512695313,3404.3588867188,6699.2309570313,1733.8461914063,7337.0512695313,922.9487304688,Lamp,audio,start_slide
5.015625,0,7896.5385742188,2146.9230957031,1566.9230957031,1350.5128173828,2882.4357910156,5505.2563476563,1551.1538085938,1658.4615478516,7692.8203125,2813.7180175781,7210.6411132813,5610.384765625,2284.6154785156,1043.205078125,6946.41015625,175.2564086914,Lamp,audio,start_slide
5.0234375,0,51.282043457,4210.384765625,8035.5126953125,1539.1025390625,4585.6411132813,4960.5126953125,311.0256347656,3491.794921875,6667.6923828125,4917.3076171875,5139.4873046875,2821.5385742188,3155.3845214844,1205.7691650391,5301.5385742188,4490.2563476563,Lamp,audio,start_slide
5.03125,0,179.9999847412,874.2307739258,7435.2563476563,2788.3332519531,6526.2822265625,7363.8461914063,995.6409912109,2245.3845214844,1098.8461914063,7137.3076171875,5454.7436523438,7003.4614257813,3430.7692871094,7666.1538085938,4309.3588867188,664.4871826172,Lamp,audio,start_slide
5.0390625,0,2597.0512695313,4732.9487304688,3933.7180175781,317.9486999512,278.0769042969,2723.4614257813,4014.1025390625,8080.2563476563,7166.41015625,4451.41015625,8.9743499756,7251.1538085938,6867.0512695313,4266.2822265625,5269.4873046875,3044.3588867188,Lamp,audio,start_slide
5.046875,0,2868.0769042969,4404.7436523438,1683.4615478516,6248.3334960938,3049.4870605469,5790.8974609375,4462.5639648438,4641.0258789063,6224.8715820313,5128.205078125,4755.5126953125,6098.7177734375,1477.3077392578,6455.2563476563,2717.4357910156,3967.5642089844,Lamp,audio,start_slide
5.0546875,0,8300.384765625,5678.8461914063,5288.3334960938,7901.0258789063,3927.5642089844,1739.1025390625,5976.9228515625,7298.7177734375,4518.0771484375,5283.205078125,3109.8718261719,517.8204956055,8318.205078125,1289.8718261719,6798.8461914063,5237.9487304688,Lamp,audio,start_slide
5.0625,0,6647.0512695313,8238.0771484375,7250.8974609375,740.3845825195,6505.5126953125,6346.0258789063,1401.4102783203,5270.5126953125,5553.58984375,2397.4357910156,6476.1538085938,7267.1796875,6850.8974609375,7815.5126953125,1771.9230957031,1916.1538085938,Lamp,audio,start_slide
5.0703125,0,4756.0258789063,7388.205078125,3052.9487304688,1911.2821044922,3961.1538085938,395.2564086914,325.2564086914,4141.9228515625,5032.3076171875,2061.5385742188,2490.2563476563,1317.5640869141,6299.2309570313,4951.2822265625,3909.6154785156,7698.0771484375,Lamp,audio,start_slide
5.078125,0,6744.4873046875,1316.4102783203,5697.5639648438,5668.205078125,1527.6922607422,640.7692260742,2592.6923828125,4120.6411132813,5863.205078125,7057.8203125,7071.794921875,348.5897216797,6553.0771484375,3389.3588867188,4741.6665039063,1538.8461914063,Lamp,audio,start_slide
5.0859375,0,2895.2563476563,6753.4614257813,7667.9487304688,622.1795043945,803.5897216797,7460.5126953125,1828.205078125,2018.3333740234,275.2564086914,6294.3588867188,2020.3846435547,2868.3332519531,911.282043457,4917.0512695313,4852.9487304688,5653.58984375,Lamp,audio,start_slide
5.09375,0,263.5897216797,6952.1796875,7711.9228515625,6135.8974609375,6427.3076171875,6232.0512695313,4427.8203125,1591.1538085938,6092.4360351563,1546.4102783203,3738.205078125,1648.9743652344,1282.3077392578,3283.8461914063,4955.0,2256.6667480469,Lamp,audio,start_slide
5.1015625,0,6329.1025390625,6353.9741210938,7780.5126953125,7583.3334960938,6008.3334960938,3100.5129394531,5969.8715820313,7352.0512695313,5580.6411132813,722.4359130859,5667.8203125,5222.5639648438,681.5384521484,3940.5129394531,3455.0,1591.2821044922,Lamp,audio,start_slide
5.109375,0,1550.1281738281,4118.8461914063,6689.8715820313,3231.1538085938,5334.3588867188,988.0769042969,6194.4873046875,4783.9741210938,3798.205078125,1825.0,2296.2819824219,6541.5385742188,6350.1284179688,644.4871826172,6464.4873046875,4838.9741210938,Lamp,audio,start_slide
