Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
705.0000000000,0,2241.1538085938,3106.4101562500,5166.7949218750,3686.5385742188,4155.0000000000,5252.8203125000,7883.5898437500,5312.1796875000,1303.5897216797,6891.1538085938,7522.1796875000,980.1281738281,4097.8203125000,7022.5639648438,3171.6667480469,4786.9228515625,,,
705.0078125000,0,8364.3593750000,304.6153869629,7378.5898437500,2285.7692871094,2781.4101562500,4224.3588867188,1110.0000000000,3549.4870605469,3363.5898437500,7335.1284179688,3286.1538085938,7231.6665039063,2174.8718261719,1733.2050781250,6445.5126953125,4456.6665039063,,,
705.0156250000,0,8389.6152343750,6275.7690429688,6676.7949218750,5243.7177734375,1754.8718261719,2312.5642089844,3561.0256347656,1420.5128173828,2473.8461914063,8105.6411132813,7273.2050781250,6185.6411132813,568.2051391602,6596.4101562500,3078.3332519531,7353.2050781250,,,
705.0234375000,0,6179.8715820313,6740.7690429688,2885.1281738281,2289.1025390625,5592.3076171875,1898.3333740234,762.8204956055,1280.0000000000,3545.8974609375,3930.1281738281,4263.9741210938,7669.1025390625,448.4615173340,4412.5639648438,4367.9487304688,580.8973999023,,,
705.0312500000,0,2359.8718261719,3178.8461914063,5406.2822265625,7312.6923828125,5412.5639648438,5363.7177734375,6222.1796875000,3915.0000000000,7133.9741210938,7553.8461914063,7543.7177734375,1944.8718261719,2118.8461914063,1025.1281738281,5714.6152343750,1721.7949218750,,,
705.0390625000,0,3085.1281738281,5337.6923828125,5436.7949218750,7831.9228515625,4761.1538085938,3157.4357910156,1543.9743652344,2634.1025390625,4359.3588867188,5617.1796875000,7238.5898437500,8342.6923828125,7596.2822265625,7926.5385742188,38.0769157410,4111.6665039063,,,
705.0468750000,0,3389.2307128906,6711.7949218750,6253.3334960938,5916.0258789063,5707.3076171875,0.6410166621,4812.1796875000,1709.3590087891,7867.4360351563,5383.3334960938,2046.4102783203,4456.5385742188,5077.4360351563,6268.7177734375,3395.7692871094,7857.4360351563,,,
705.0546875000,0,2963.9743652344,7295.0000000000,3810.1281738281,2167.9487304688,3009.3588867188,7516.4101562500,7750.6411132813,5789.2309570313,809.6153564453,2277.9487304688,6162.9487304688,489.3589782715,7916.4101562500,7975.0000000000,3479.1025390625,8037.1796875000,,,
705.0625000000,0,820.1281738281,7108.3334960938,3459.8718261719,4096.1538085938,4331.7949218750,4061.5385742188,4069.1025390625,5112.8203125000,5216.1538085938,7376.1538085938,3703.9743652344,317.0512695313,1975.2563476563,206.6666564941,4516.1538085938,2820.5129394531,,,
705.0703125000,0,2838.3332519531,7828.2050781250,691.1538085938,7848.0771484375,1526.6666259766,1577.9487304688,1112.3077392578,6348.2050781250,1471.1538085938,5083.0771484375,1591.7949218750,7802.0512695313,293.9743652344,3841.5385742188,3385.2563476563,1703.8461914063,,,
705.0781250000,0,5806.2822265625,6268.8461914063,2820.3845214844,4632.4360351563,1374.4871826172,6101.1538085938,4121.5385742188,4729.3588867188,242.1794738770,149.3589630127,6835.8974609375,5851.7949218750,6449.4873046875,3072.8205566406,5986.5385742188,3740.5129394531,,,
705.0859375000,0,7895.1284179688,6766.4101562500,3233.7180175781,5798.2050781250,3389.7436523438,2502.9487304688,7598.7177734375,6872.5639648438,7112.6923828125,6597.9487304688,89.1025543213,8098.8461914063,76.1538391113,707.4359130859,7152.5639648438,5085.5126953125,,,
705.0937500000,0,20.3846073151,6784.3588867188,5212.9487304688,1270.7691650391,5683.2050781250,8222.3076171875,1385.3846435547,5973.0771484375,3120.0000000000,2072.4357910156,1315.8974609375,6595.7690429688,3678.3332519531,3246.4101562500,3430.1281738281,2999.2307128906,,,
705.1015625000,0,999.4871826172,956.1538696289,4967.3076171875,788.3333129883,5069.3588867188,77.4358901978,1141.7949218750,5171.7949218750,7528.7177734375,6411.7949218750,2318.4614257813,8086.1538085938,1477.9487304688,4036.9230957031,1163.8461914063,3317.6923828125,,,
705.1093750000,0,2037.4359130859,4217.4360351563,5564.6152343750,7345.7690429688,7354.1025390625,6039.7436523438,5655.1284179688,4441.6665039063,5679.8715820313,3854.2307128906,5578.7177734375,2854.7436523438,13.0769138336,5859.4873046875,7191.7949218750,1218.3333740234,,,
705.1171875000,0,4213.7177734375,3712.1794433594,839.7435913086,5388.4614257813,5221.4101562500,8045.8974609375,2248.4614257813,7610.0000000000,3861.0256347656,3534.6154785156,13.9743499756,5625.1284179688,3682.0512695313,78.4615325928,4636.9228515625,4879.8715820313,,,
705.1250000000,0,4414.7436523438,3293.2050781250,1685.0000000000,6512.1796875000,1614.6153564453,5201.2822265625,7924.1025390625,3861.5385742188,2128.2050781250,1984.7435302734,6065.5126953125,2053.3332519531,6356.7949218750,7088.3334960938,5823.2050781250,4956.7949218750,,,
705.1328125000,0,2393.7180175781,1528.4615478516,1994.6153564453,4967.3076171875,5971.7949218750,3160.5129394531,4633.7177734375,2282.1794433594,8246.5380859375,586.2820434570,18.7179393768,1834.8718261719,3952.5642089844,1253.5897216797,5721.6665039063,622.3076782227,,,
705.1406250000,0,3759.6154785156,4317.0512695313,2613.9743652344,7886.1538085938,2638.8461914063,5846.2822265625,4544.7436523438,5388.0771484375,3879.6154785156,2735.5126953125,7139.4873046875,3036.9230957031,2372.4357910156,5823.4614257813,5712.4360351563,6172.6923828125,,,
705.1484375000,0,5493.5898437500,2781.2819824219,3064.2307128906,6231.4101562500,5794.4873046875,1346.7949218750,2248.2050781250,3135.3845214844,7358.0771484375,4003.8461914063,432.0512695313,351.6666564941,3594.1025390625,2281.6667480469,898.9743652344,2528.8461914063,,,
705.1562500000,0,5831.6665039063,7797.5639648438,4943.2050781250,7758.9746093750,241.6666564941,184.9999847412,3473.8461914063,1265.7691650391,7856.1538085938,1336.6666259766,3743.2050781250,5709.1025390625,5573.9741210938,3391.1538085938,8012.3076171875,3779.3588867188,,,
705.1640625000,0,48.0769157410,5925.7690429688,1688.5897216797,5812.5639648438,1715.2563476563,4570.0000000000,7635.5126953125,7724.7436523438,8332.0517578125,6858.0771484375,3095.2563476563,8218.2050781250,7157.1796875000,3691.9230957031,3193.2050781250,2169.6154785156,,,
705.1718750000,0,7630.1284179688,4889.1025390625,8088.4614257813,2869.8718261719,1984.2307128906,3470.1281738281,4355.1284179688,2604.4870605469,6858.9741210938,3154.2307128906,5821.0258789063,7013.4614257813,1740.6409912109,275.1282043457,1054.1025390625,8278.2050781250,,,
705.1796875000,0,8046.1538085938,5238.2050781250,5510.8974609375,5439.8715820313,811.7948608398,5715.2563476563,3494.8718261719,4098.3334960938,6792.1796875000,4696.6665039063,2986.5385742188,144.3589630127,490.8974304199,4182.5639648438,6056.2822265625,1563.2050781250,,,
705.1875000000,0,2680.1281738281,2572.4357910156,336.4102478027,364.2307739258,2678.0769042969,8315.1279296875,3454.6154785156,2914.2307128906,3098.4614257813,3442.1794433594,560.3845825195,7438.5898437500,4512.1796875000,1495.0000000000,7665.8974609375,4011.1538085938,,,
705.1953125000,0,2217.3076171875,456.6666564941,3759.8718261719,2656.6667480469,5778.0771484375,5096.7949218750,1935.6409912109,7372.6923828125,2101.5385742188,6080.8974609375,4202.9487304688,8291.4101562500,6762.9487304688,7760.1284179688,2398.7180175781,500.7692260742,,,
705.2031250000,0,2505.5126953125,3190.1281738281,2050.6411132813,7649.1025390625,1983.7178955078,7395.3847656250,4876.5385742188,3901.7949218750,5405.1284179688,4515.2563476563,6521.5385742188,2337.8205566406,6562.5639648438,7323.5898437500,922.4359130859,8017.9487304688,,,
