Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
5.0000000000,0,420.2564086914,2026.5384521484,4443.5898437500,1372.3077392578,7251.7949218750,1696.1538085938,6054.2309570313,4058.3332519531,3109.6154785156,2963.8461914063,1999.4871826172,2476.2819824219,6124.2309570313,629.7435913086,4110.5126953125,7893.3334960938,,,
5.0078125000,0,2752.4357910156,2214.1025390625,4756.2822265625,7010.5126953125,7305.1284179688,3258.3332519531,2488.4614257813,953.8461303711,7779.1025390625,3345.0000000000,6517.0512695313,3404.3588867188,6699.2309570313,1733.8461914063,7337.0512695313,922.9487304688,,,
5.0156250000,0,7896.5385742188,2146.9230957031,1566.9230957031,1350.5128173828,2882.4357910156,5505.2563476563,1551.1538085938,1658.4615478516,7692.8203125000,2813.7180175781,7210.6411132813,5610.3847656250,2284.6154785156,1043.2050781250,6946.4101562500,175.2564086914,,,
5.0234375000,0,51.2820434570,4210.3847656250,8035.5126953125,1539.1025390625,4585.6411132813,4960.5126953125,311.0256347656,3491.7949218750,6667.6923828125,4917.3076171875,5139.4873046875,2821.5385742188,3155.3845214844,1205.7691650391,5301.5385742188,4490.2563476563,,,
5.0312500000,0,179.9999847412,874.2307739258,7435.2563476563,2788.3332519531,6526.2822265625,7363.8461914063,995.6409912109,2245.3845214844,1098.8461914063,7137.3076171875,5454.7436523438,7003.4614257813,3430.7692871094,7666.1538085938,4309.3588867188,664.4871826172,,,
5.0390625000,0,2597.0512695313,4732.9487304688,3933.7180175781,317.9486999512,278.0769042969,2723.4614257813,4014.1025390625,8080.2563476563,7166.4101562500,4451.4101562500,8.9743499756,7251.1538085938,6867.0512695313,4266.2822265625,5269.4873046875,3044.3588867188,,,
5.0468750000,0,2868.0769042969,4404.7436523438,1683.4615478516,6248.3334960938,3049.4870605469,5790.8974609375,4462.5639648438,4641.0258789063,6224.8715820313,5128.2050781250,4755.5126953125,6098.7177734375,1477.3077392578,6455.2563476563,2717.4357910156,3967.5642089844,,,
5.0546875000,0,8300.3847656250,5678.8461914063,5288.3334960938,7901.0258789063,3927.5642089844,1739.1025390625,5976.9228515625,7298.7177734375,4518.0771484375,5283.2050781250,3109.8718261719,517.8204956055,8318.2050781250,1289.8718261719,6798.8461914063,5237.9487304688,,,
5.0625000000,0,6647.0512695313,8238.0771484375,7250.8974609375,740.3845825195,6505.5126953125,6346.0258789063,1401.4102783203,5270.5126953125,5553.5898437500,2397.4357910156,6476.1538085938,7267.1796875000,6850.8974609375,7815.5126953125,1771.9230957031,1916.1538085938,,,
5.0703125000,0,4756.0258789063,7388.2050781250,3052.9487304688,1911.2821044922,3961.1538085938,395.2564086914,325.2564086914,4141.9228515625,5032.3076171875,2061.5385742188,2490.2563476563,1317.5640869141,6299.2309570313,4951.2822265625,3909.6154785156,7698.0771484375,,,
5.0781250000,0,6744.4873046875,1316.4102783203,5697.5639648438,5668.2050781250,1527.6922607422,640.7692260742,2592.6923828125,4120.6411132813,5863.2050781250,7057.8203125000,7071.7949218750,348.5897216797,6553.0771484375,3389.3588867188,4741.6665039063,1538.8461914063,,,
5.0859375000,0,2895.2563476563,6753.4614257813,7667.9487304688,622.1795043945,803.5897216797,7460.5126953125,1828.2050781250,2018.3333740234,275.2564086914,6294.3588867188,2020.3846435547,2868.3332519531,911.2820434570,4917.0512695313,4852.9487304688,5653.5898437500,,,
5.0937500000,0,263.5897216797,6952.1796875000,7711.9228515625,6135.8974609375,6427.3076171875,6232.0512695313,4427.8203125000,1591.1538085938,6092.4360351563,1546.4102783203,3738.2050781250,1648.9743652344,1282.3077392578,3283.8461914063,4955.0000000000,2256.6667480469,,,
5.1015625000,0,6329.1025390625,6353.9741210938,7780.5126953125,7583.3334960938,6008.3334960938,3100.5129394531,5969.8715820313,7352.0512695313,5580.6411132813,722.4359130859,5667.8203125000,5222.5639648438,681.5384521484,3940.5129394531,3455.0000000000,1591.2821044922,,,
5.1093750000,0,1550.1281738281,4118.8461914063,6689.8715820313,3231.1538085938,5334.3588867188,988.0769042969,6194.4873046875,4783.9741210938,3798.2050781250,1825.0000000000,2296.2819824219,6541.5385742188,6350.1284179688,644.4871826172,6464.4873046875,4838.9741210938,,,
5.1171875000,0,3466.2819824219,3659.8718261719,5165.2563476563,1339.3590087891,5320.5126953125,5988.4614257813,528.7179565430,4461.1538085938,1403.3333740234,8108.7177734375,7161.6665039063,894.4871826172,6912.1796875000,5317.3076171875,1134.1025390625,2290.6411132813,,,
5.1250000000,0,7206.6665039063,3913.0769042969,1781.7949218750,6294.7436523438,4991.6665039063,1179.6153564453,856.7948608398,6628.5898437500,1325.1281738281,7667.9487304688,7008.9741210938,4517.9487304688,2994.3588867188,1768.0769042969,717.1795043945,2519.1025390625,,,
5.1328125000,0,8094.4873046875,6461.4101562500,6982.9487304688,8245.7695312500,6689.4873046875,128.8461456299,7791.2822265625,6888.9741210938,7406.5385742188,591.6666870117,1062.3077392578,5162.6923828125,3189.4870605469,1136.0256347656,3053.9743652344,7420.5126953125,,,
5.1406250000,0,3800.6411132813,1908.2050781250,6162.1796875000,5571.1538085938,1055.1281738281,7794.8715820313,3370.2563476563,2727.8205566406,5277.4360351563,1147.5640869141,290.2564086914,4483.2050781250,2342.5642089844,7244.2309570313,1707.4359130859,3870.3845214844,,,
5.1484375000,0,814.6153564453,8222.4355468750,5376.0258789063,2076.4101562500,235.3846130371,2670.1281738281,129.7435760498,4199.3588867188,4573.9741210938,3565.7692871094,393.7179260254,7038.8461914063,1024.6153564453,5408.5898437500,6998.9741210938,8264.6152343750,,,
5.1562500000,0,176.6666564941,5745.0000000000,5402.1796875000,2510.6411132813,7564.6152343750,7444.8715820313,1546.4102783203,6842.5639648438,6653.5898437500,7996.2822265625,4767.4360351563,8326.7949218750,455.7692260742,2116.4101562500,5077.6923828125,4386.6665039063,,,
5.1640625000,0,7548.9746093750,5437.5639648438,5921.7949218750,6741.7949218750,5637.3076171875,6194.1025390625,5454.8715820313,4470.3847656250,1692.0512695313,2174.4870605469,7782.3076171875,5738.8461914063,4643.0771484375,6887.0512695313,5816.1538085938,1354.4871826172,,,
5.1718750000,0,4046.7949218750,6024.2309570313,612.0512695313,3337.3076171875,3776.4101562500,6149.8715820313,2429.4870605469,1336.1538085938,3846.5385742188,2579.1025390625,6522.0512695313,3568.4614257813,2825.7692871094,1295.6409912109,133.5897369385,151.1538391113,,,
