Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
22.0,0,4603.8461914063,5123.7177734375,3230.1281738281,197.0512695313,1043.7178955078,200.8974304199,3781.9230957031,7482.5639648438,3417.9487304688,443.3333129883,5879.4873046875,1635.1281738281,3747.3076171875,2896.1538085938,2299.2307128906,3592.3076171875,Lamp,audio,buffer
22.0078125,0,2698.9743652344,7102.4360351563,7639.2309570313,4148.3334960938,1118.0769042969,6042.9487304688,553.0769042969,6432.4360351563,3267.1794433594,974.7435913086,1156.4102783203,5179.2309570313,6000.2563476563,6680.2563476563,5878.0771484375,1875.8974609375,Lamp,audio,buffer
22.015625,0,8241.025390625,2987.3076171875,4750.7690429688,8294.1025390625,5499.615234375,3666.0256347656,4085.5129394531,5577.3076171875,1113.9743652344,4502.3076171875,7029.7436523438,1588.8461914063,7717.4360351563,2112.3076171875,5654.7436523438,5409.615234375,Lamp,audio,buffer
22.0234375,0,3639.7436523438,1622.3077392578,7774.615234375,4974.8715820313,3283.58984375,1425.3846435547,5001.794921875,4608.205078125,7778.7177734375,7853.205078125,6307.3076171875,3703.0769042969,1370.5128173828,5539.1025390625,2877.6923828125,1713.9743652344,Lamp,audio,buffer
22.03125,0,5094.3588867188,3158.3332519531,436.4102478027,1378.205078125,5589.4873046875,1126.2821044922,3473.4614257813,5847.1796875,453.7179260254,812.8204956055,286.7948608398,6962.4360351563,1107.9487304688,5130.5126953125,1524.7435302734,3440.0,Lamp,audio,buffer
22.0390625,0,1032.0512695313,53.2051200867,4598.205078125,7964.1025390625,1436.2821044922,7007.1796875,2419.4870605469,5072.1796875,4255.0,1353.205078125,5214.8715820313,5192.0512695313,1725.2563476563,6322.3076171875,5612.6923828125,3960.0,Lamp,audio,buffer
22.046875,0,6788.0771484375,4659.1025390625,4708.8461914063,5294.3588867188,5634.4873046875,1807.4359130859,6235.7690429688,2248.9743652344,6824.3588867188,5369.1025390625,303.3333129883,7458.974609375,6611.9228515625,6887.6923828125,7000.7690429688,3769.2307128906,Lamp,audio,buffer
22.0546875,0,2901.1538085938,2839.3588867188,7404.3588867188,4692.5639648438,3798.9743652344,6310.0,8030.1284179688,4946.0258789063,7191.0258789063,6522.9487304688,385.8974304199,8189.615234375,1156.6666259766,3225.1281738281,7817.3076171875,3726.5385742188,Lamp,audio,buffer
22.0625,0,4982.9487304688,4326.0258789063,1119.8718261719,5962.4360351563,3940.0,5968.205078125,2893.3332519531,4331.9228515625,6639.2309570313,276.4102478027,7572.4360351563,7760.7690429688,148.2051239014,8272.9482421875,3483.8461914063,6047.1796875,Lamp,audio,buffer
22.0703125,0,7093.4614257813,2565.5126953125,6671.794921875,5556.6665039063,6248.9741210938,1919.6153564453,8257.564453125,6525.0,4059.6154785156,5871.5385742188,191.5384521484,5753.0771484375,2180.3845214844,1520.6409912109,7395.7690429688,1428.8461914063,Lamp,audio,buffer
22.078125,0,1645.1281738281,1524.2307128906,7325.1284179688,868.2051391602,4853.4614257813,5214.7436523438,4095.2563476563,1344.1025390625,4106.5385742188,3952.4357910156,6059.8715820313,865.6409912109,1127.4359130859,1919.7435302734,600.6409912109,292.4358825684,Lamp,audio,buffer
22.0859375,0,4842.3076171875,3162.4357910156,1139.8718261719,7029.3588867188,3250.8974609375,3881.5385742188,414.2307739258,423.0769042969,3158.205078125,6088.0771484375,6767.4360351563,5216.794921875,7890.6411132813,2131.41015625,8048.974609375,7190.1284179688,Lamp,audio,buffer
22.09375,0,7216.0258789063,365.8974304199,1295.3846435547,6943.0771484375,2601.6667480469,6978.3334960938,1188.8461914063,2845.6411132813,1242.5640869141,4898.3334960938,5302.3076171875,3712.0512695313,6353.9741210938,7158.9741210938,6101.6665039063,3044.8718261719,Lamp,audio,buffer
22.1015625,0,49.9999923706,2728.4614257813,4980.1284179688,986.4102783203,1378.8461914063,426.1538391113,922.0512695313,6797.1796875,3221.0256347656,6717.5639648438,3301.6667480469,5616.6665039063,6564.2309570313,2101.2819824219,1633.3333740234,4756.41015625,Lamp,audio,buffer
22.109375,0,5122.1796875,2066.5385742188,7278.58984375,6710.384765625,3753.0769042969,3998.205078125,4157.4360351563,4317.4360351563,4727.3076171875,7739.8715820313,7456.2822265625,4794.3588867188,8031.0258789063,3980.0,2566.9230957031,4356.2822265625,Lamp,audio,buffer
22.1171875,0,7711.5385742188,2881.794921875,3708.4614257813,5098.7177734375,96.0256347656,4365.1284179688,6290.2563476563,5230.7690429688,1622.1794433594,5323.9741210938,960.7692260742,3183.58984375,7837.4360351563,2096.9230957031,2139.7436523438,75.7692184448,Lamp,audio,buffer
22.125,0,7481.2822265625,2725.2563476563,4743.4614257813,6816.0258789063,2293.58984375,6379.7436523438,7612.6923828125,2214.3588867188,4720.8974609375,5845.8974609375,3220.1281738281,6798.0771484375,3967.9487304688,4218.9741210938,3844.7436523438,1491.2821044922,Lamp,audio,buffer
22.1328125,0,8396.41015625,4756.9228515625,859.2307739258,4076.6667480469,1158.4615478516,7846.2822265625,4374.1025390625,5957.5639648438,2744.2307128906,7316.0258789063,5181.2822265625,156.6666564941,5055.0,6657.5639648438,901.282043457,7083.0771484375,Lamp,audio,buffer
22.140625,0,8225.384765625,8341.154296875,7080.5126953125,2394.1025390625,6483.4614257813,1552.8205566406,1157.9487304688,4661.1538085938,5474.3588867188,2313.4614257813,4704.7436523438,6259.1025390625,6592.6923828125,7367.3076171875,2715.8974609375,6221.0258789063,Lamp,audio,buffer
22.1484375,0,7710.0,7642.5639648438,2426.5385742188,3069.8718261719,555.8973999023,5217.0512695313,6599.1025390625,4455.6411132813,3370.7692871094,5904.1025390625,2887.1794433594,6821.794921875,2992.0512695313,2359.7436523438,5972.3076171875,7721.6665039063,Lamp,audio,buffer
22.15625,0,3237.9487304688,7292.3076171875,1900.1281738281,6957.9487304688,1694.1025390625,3530.0,3734.6154785156,3723.58984375,144.3589630127,202.8205108643,4346.5385742188,1579.3590087891,2588.7180175781,7982.1796875,597.5640869141,1309.1025390625,Lamp,audio,buffer
22.1640625,0,4157.4360351563,3598.7180175781,2843.3332519531,6109.2309570313,2960.2563476563,3818.58984375,5936.6665039063,996.4102783203,5310.2563476563,4426.9228515625,6533.4614257813,5946.794921875,8400.640625,6569.615234375,5226.0258789063,2382.4357910156,Lamp,audio,buffer
22.171875,0,5864.7436523438,21.0256328583,3116.1538085938,4164.4873046875,2462.3076171875,4625.8974609375,7504.2309570313,3927.8205566406,204.230758667,7524.8715820313,8108.58984375,74.230758667,4942.9487304688,186.282043457,5063.9741210938,1307.5640869141,Lamp,audio,buffer
22.1796875,0,613.9743652344,396.6666564941,2005.2563476563,2742.4357910156,2450.8974609375,1158.205078125,512.0512695313,4750.384765625,2956.6667480469,5781.41015625,8012.5639648438,1577.6922607422,5247.5639648438,916.5384521484,6322.6923828125,7671.0258789063,Lamp,audio,buffer
22.1875,0,3638.3332519531,1176.794921875,1563.3333740234,6962.4360351563,7788.0771484375,563.0769042969,3490.7692871094,4843.7177734375,719.2307739258,3375.5129394531,89.6153793335,6741.5385742188,6813.7177734375,1320.5128173828,8150.8974609375,7378.3334960938,Lamp,audio,buffer
22.1953125,0,5183.205078125,6470.0,2547.0512695313,111.1538391113,807.0512695313,6520.2563476563,545.7692260742,4518.9741210938,4766.1538085938,1415.8974609375,6556.2822265625,506.5384521484,1100.5128173828,1017.0512695313,7773.974609375,1866.2821044922,Lamp,audio,buffer
22.203125,0,6026.2822265625,1115.0,2723.9743652344,7747.9487304688,198.2051239014,3726.794921875,4492.8203125,6628.3334960938,5980.5126953125,5357.9487304688,3839.1025390625,1108.0769042969,289.2307739258,3329.2307128906,4482.4360351563,6233.8461914063,Lamp,audio,buffer
22.2109375,0,1873.3333740234,6163.8461914063,4921.2822265625,6330.8974609375,1053.0769042969,1908.7178955078,2625.5126953125,556.7948608398,7797.6923828125,1194.8718261719,4955.1284179688,516.7948608398,5987.9487304688,6883.9741210938,4610.2563476563,6710.8974609375,Lamp,audio,buffer
22.21875,0,1886.9230957031,3595.3845214844,3241.2819824219,2192.9487304688,1224.4871826172,6478.7177734375,1763.3333740234,3130.1281738281,7743.0771484375,546.7948608398,7529.4873046875,552.8204956055,4075.3845214844,3952.5642089844,7277.4360351563,7446.794921875,Lamp,audio,buffer
22.2265625,0,2860.1281738281,6952.3076171875,729.3589477539,5072.1796875,1946.6666259766,356.7948608398,1752.4359130859,2305.6411132813,782.1795043945,5049.615234375,550.0,312.8204956055,1115.5128173828,5249.4873046875,2275.7692871094,4801.5385742188,Lamp,audio,buffer
22.234375,0,911.7948608398,3792.5642089844,1676.6666259766,1239.7435302734,1190.3846435547,5698.0771484375,2713.9743652344,3226.9230957031,8069.2309570313,80.7692184448,6187.4360351563,6105.2563476563,7963.974609375,234.7435760498,4822.1796875,201.282043457,Lamp,audio,buffer
