Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
5.0,0,8370.8974609375,7009.615234375,7430.6411132813,5363.205078125,4165.8974609375,5296.2822265625,2918.58984375,8297.0517578125,602.1795043945,6878.8461914063,7882.9487304688,2240.7692871094,6772.6923828125,6596.6665039063,6835.1284179688,8215.8974609375,Lamp,audio,start_slide
5.0078125,0,4331.2822265625,8221.9228515625,3512.1794433594,6296.41015625,6136.6665039063,6834.8715820313,5020.5126953125,1117.8205566406,1804.2307128906,1504.1025390625,5207.4360351563,5462.8203125,117.5640945435,4730.7690429688,3755.1281738281,810.5128173828,Lamp,audio,start_slide
5.015625,0,5693.4614257813,6688.58984375,6867.0512695313,6100.8974609375,3966.6667480469,2907.9487304688,6422.6923828125,2662.5642089844,6328.58984375,2411.5385742188,826.4102783203,7829.3588867188,3690.6411132813,2136.0256347656,2688.8461914063,5692.5639648438,Lamp,audio,start_slide
5.0234375,0,5315.5126953125,7416.9228515625,6279.1025390625,4479.7436523438,7373.4614257813,4478.4614257813,2409.2307128906,6355.1284179688,4004.7436523438,4734.7436523438,5240.0,7659.8715820313,8255.8974609375,1857.6922607422,6956.6665039063,4942.4360351563,Lamp,audio,start_slide
5.03125,0,1868.0769042969,6795.5126953125,2329.4870605469,6297.9487304688,4948.0771484375,7112.9487304688,4543.8461914063,6033.4614257813,4351.9228515625,4914.615234375,5079.1025390625,3466.1538085938,3189.6154785156,5852.6923828125,2977.6923828125,4530.8974609375,Lamp,audio,start_slide
5.0390625,0,8271.6669921875,1629.8718261719,1115.3846435547,6021.5385742188,4383.8461914063,4626.794921875,3563.205078125,7449.2309570313,4451.1538085938,7888.3334960938,4066.9230957031,7847.9487304688,3855.8974609375,4336.6665039063,3764.1025390625,2582.5642089844,Lamp,audio,start_slide
5.046875,0,73.9743499756,2597.5642089844,2635.1281738281,1613.3333740234,7654.7436523438,3019.3588867188,2212.8205566406,4031.6667480469,4787.3076171875,3079.8718261719,4628.0771484375,2858.4614257813,2363.58984375,1540.6409912109,2375.7692871094,5247.1796875,Lamp,audio,start_slide
5.0546875,0,3767.8205566406,6834.1025390625,1316.4102783203,1040.6409912109,4871.9228515625,5876.9228515625,4358.0771484375,5396.1538085938,2072.9487304688,3872.1794433594,5130.0,8369.4873046875,2418.58984375,7679.4873046875,1260.1281738281,1459.1025390625,Lamp,audio,start_slide
5.0625,0,5391.41015625,1374.6153564453,7968.7177734375,4653.4614257813,5842.8203125,4119.1025390625,367.6922912598,8049.7436523438,5821.794921875,4668.8461914063,4744.1025390625,3594.1025390625,550.3845825195,4799.8715820313,5172.1796875,8101.5385742188,Lamp,audio,start_slide
5.0703125,0,7438.8461914063,3897.3076171875,7387.9487304688,2380.7692871094,240.1281890869,2067.3076171875,8322.3076171875,2535.1281738281,4807.9487304688,6899.3588867188,8331.9228515625,1316.2821044922,6988.0771484375,4748.9741210938,7949.2309570313,2568.0769042969,Lamp,audio,start_slide
5.078125,0,4167.9487304688,7657.1796875,2850.5129394531,7229.4873046875,3318.9743652344,7619.7436523438,3466.0256347656,8052.4360351563,5489.615234375,2080.2563476563,7462.3076171875,7530.1284179688,2928.4614257813,4135.5126953125,7946.2822265625,123.8461456299,Lamp,audio,start_slide
5.0859375,0,2276.1538085938,2230.6411132813,1237.8205566406,1611.0256347656,5425.5126953125,5702.8203125,3795.7692871094,7095.384765625,2927.5642089844,5295.2563476563,2548.3332519531,4368.0771484375,7810.6411132813,7175.6411132813,1754.6153564453,5863.58984375,Lamp,audio,start_slide
5.09375,0,2799.6154785156,2.8205039501,2053.3332519531,4947.4360351563,4386.2822265625,6399.615234375,5946.1538085938,2297.5642089844,1590.7691650391,254.6153717041,4986.9228515625,1329.8718261719,2778.8461914063,7869.3588867188,2897.6923828125,1001.282043457,Lamp,audio,start_slide
5.1015625,0,4182.3076171875,2930.8974609375,2035.0,2886.9230957031,2945.5129394531,3076.9230957031,1758.5897216797,1347.1794433594,2767.9487304688,3440.2563476563,5832.1796875,1938.7178955078,5561.41015625,560.0,2906.1538085938,6228.58984375,Lamp,audio,start_slide
5.109375,0,756.0256347656,1726.5384521484,6141.5385742188,4261.794921875,5287.1796875,6803.7177734375,1453.205078125,4742.0512695313,3262.9487304688,2575.3845214844,7143.9741210938,4142.8203125,99.9999923706,5348.4614257813,6452.8203125,6466.0258789063,Lamp,audio,start_slide
5.1171875,0,8357.1796875,7624.615234375,3460.6411132813,5089.4873046875,3215.6411132813,4033.7180175781,7141.6665039063,7338.7177734375,3382.6923828125,593.8461303711,2202.8205566406,1904.3590087891,5634.7436523438,5910.6411132813,7608.974609375,5706.2822265625,Lamp,audio,start_slide
5.125,0,4599.7436523438,5443.8461914063,3520.8974609375,675.5128173828,2085.8974609375,8130.5126953125,6639.3588867188,3430.8974609375,5856.41015625,2384.2307128906,6517.6923828125,458.9743652344,4891.41015625,6628.8461914063,2878.0769042969,1744.6153564453,Lamp,audio,start_slide
5.1328125,0,3195.7692871094,1924.7435302734,5427.8203125,3424.4870605469,1161.794921875,1356.6666259766,1102.6922607422,5606.5385742188,6345.6411132813,7122.8203125,7587.6923828125,1809.6153564453,1912.0512695313,4013.205078125,7603.7177734375,5804.3588867188,Lamp,audio,start_slide
5.140625,0,2549.4870605469,5707.4360351563,7547.6923828125,7114.8715820313,237.5640869141,7151.794921875,6658.205078125,3419.8718261719,2821.794921875,4753.0771484375,2741.0256347656,4843.205078125,2631.0256347656,4462.0512695313,4165.1284179688,2769.7436523438,Lamp,audio,start_slide
5.1484375,0,4698.7177734375,5662.4360351563,7103.9741210938,7984.8715820313,6535.6411132813,5233.4614257813,816.6666870117,6970.6411132813,2869.1025390625,6886.9228515625,6045.2563476563,4878.58984375,1521.6666259766,6911.2822265625,7599.1025390625,5558.8461914063,Lamp,audio,start_slide
5.15625,0,5837.5639648438,3399.6154785156,7321.41015625,1988.3333740234,2105.0,5205.0,6658.205078125,4127.9487304688,8226.025390625,4999.2309570313,2219.2307128906,7614.4873046875,4571.6665039063,4308.0771484375,2288.7180175781,574.6153564453,Lamp,audio,start_slide
5.1640625,0,1522.3077392578,4868.205078125,4823.8461914063,3580.7692871094,3833.8461914063,1208.8461914063,1428.9743652344,1942.5640869141,2605.8974609375,3556.0256347656,5367.3076171875,1775.0,806.6666870117,5445.7690429688,5193.8461914063,5461.2822265625,Lamp,audio,start_slide
5.171875,0,5004.3588867188,8323.3330078125,5701.41015625,6270.0,6462.0512695313,7402.6923828125,7921.9228515625,8352.435546875,4849.4873046875,2786.6667480469,7870.0,8035.8974609375,7520.8974609375,4551.2822265625,1799.6153564453,7062.5639648438,Lamp,audio,start_slide
5.1796875,0,6020.7690429688,6582.8203125,727.8204956055,932.3076782227,6843.205078125,1988.8461914063,7652.5639648438,3244.3588867188,3587.4357910156,3508.205078125,2562.1794433594,1852.6922607422,1324.1025390625,232.94871521,3004.3588867188,1489.3590087891,Lamp,audio,start_slide
5.1875,0,1663.9743652344,4325.5126953125,4618.9741210938,1708.8461914063,1698.5897216797,7110.7690429688,3147.1794433594,5219.1025390625,1467.3077392578,5925.6411132813,3612.0512695313,124.1025543213,4513.205078125,1542.0512695313,6359.4873046875,2895.2563476563,Lamp,audio,start_slide
5.1953125,0,5962.1796875,5104.7436523438,2141.794921875,8074.8715820313,6894.8715820313,1092.6922607422,2921.41015625,475.0,405.5128173828,1378.8461914063,875.0,1984.1025390625,7958.205078125,6070.1284179688,6479.2309570313,7305.7690429688,Lamp,audio,start_slide
