Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
22.0000000000,0,4603.8461914063,5123.7177734375,3230.1281738281,197.0512695313,1043.7178955078,200.8974304199,3781.9230957031,7482.5639648438,3417.9487304688,443.3333129883,5879.4873046875,1635.1281738281,3747.3076171875,2896.1538085938,2299.2307128906,3592.3076171875,,,
22.0078125000,0,2698.9743652344,7102.4360351563,7639.2309570313,4148.3334960938,1118.0769042969,6042.9487304688,553.0769042969,6432.4360351563,3267.1794433594,974.7435913086,1156.4102783203,5179.2309570313,6000.2563476563,6680.2563476563,5878.0771484375,1875.8974609375,,,
22.0156250000,0,8241.0253906250,2987.3076171875,4750.7690429688,8294.1025390625,5499.6152343750,3666.0256347656,4085.5129394531,5577.3076171875,1113.9743652344,4502.3076171875,7029.7436523438,1588.8461914063,7717.4360351563,2112.3076171875,5654.7436523438,5409.6152343750,,,
22.0234375000,0,3639.7436523438,1622.3077392578,7774.6152343750,4974.8715820313,3283.5898437500,1425.3846435547,5001.7949218750,4608.2050781250,7778.7177734375,7853.2050781250,6307.3076171875,3703.0769042969,1370.5128173828,5539.1025390625,2877.6923828125,1713.9743652344,,,
22.0312500000,0,5094.3588867188,3158.3332519531,436.4102478027,1378.2050781250,5589.4873046875,1126.2821044922,3473.4614257813,5847.1796875000,453.7179260254,812.8204956055,286.7948608398,6962.4360351563,1107.9487304688,5130.5126953125,1524.7435302734,3440.0000000000,,,
22.0390625000,0,1032.0512695313,53.2051200867,4598.2050781250,7964.1025390625,1436.2821044922,7007.1796875000,2419.4870605469,5072.1796875000,4255.0000000000,1353.2050781250,5214.8715820313,5192.0512695313,1725.2563476563,6322.3076171875,5612.6923828125,3960.0000000000,,,
22.0468750000,0,6788.0771484375,4659.1025390625,4708.8461914063,5294.3588867188,5634.4873046875,1807.4359130859,6235.7690429688,2248.9743652344,6824.3588867188,5369.1025390625,303.3333129883,7458.9746093750,6611.9228515625,6887.6923828125,7000.7690429688,3769.2307128906,,,
22.0546875000,0,2901.1538085938,2839.3588867188,7404.3588867188,4692.5639648438,3798.9743652344,6310.0000000000,8030.1284179688,4946.0258789063,7191.0258789063,6522.9487304688,385.8974304199,8189.6152343750,1156.6666259766,3225.1281738281,7817.3076171875,3726.5385742188,,,
22.0625000000,0,4982.9487304688,4326.0258789063,1119.8718261719,5962.4360351563,3940.0000000000,5968.2050781250,2893.3332519531,4331.9228515625,6639.2309570313,276.4102478027,7572.4360351563,7760.7690429688,148.2051239014,8272.9482421875,3483.8461914063,6047.1796875000,,,
22.0703125000,0,7093.4614257813,2565.5126953125,6671.7949218750,5556.6665039063,6248.9741210938,1919.6153564453,8257.5644531250,6525.0000000000,4059.6154785156,5871.5385742188,191.5384521484,5753.0771484375,2180.3845214844,1520.6409912109,7395.7690429688,1428.8461914063,,,
22.0781250000,0,1645.1281738281,1524.2307128906,7325.1284179688,868.2051391602,4853.4614257813,5214.7436523438,4095.2563476563,1344.1025390625,4106.5385742188,3952.4357910156,6059.8715820313,865.6409912109,1127.4359130859,1919.7435302734,600.6409912109,292.4358825684,,,
22.0859375000,0,4842.3076171875,3162.4357910156,1139.8718261719,7029.3588867188,3250.8974609375,3881.5385742188,414.2307739258,423.0769042969,3158.2050781250,6088.0771484375,6767.4360351563,5216.7949218750,7890.6411132813,2131.4101562500,8048.9746093750,7190.1284179688,,,
22.0937500000,0,7216.0258789063,365.8974304199,1295.3846435547,6943.0771484375,2601.6667480469,6978.3334960938,1188.8461914063,2845.6411132813,1242.5640869141,4898.3334960938,5302.3076171875,3712.0512695313,6353.9741210938,7158.9741210938,6101.6665039063,3044.8718261719,,,
22.1015625000,0,49.9999923706,2728.4614257813,4980.1284179688,986.4102783203,1378.8461914063,426.1538391113,922.0512695313,6797.1796875000,3221.0256347656,6717.5639648438,3301.6667480469,5616.6665039063,6564.2309570313,2101.2819824219,1633.3333740234,4756.4101562500,,,
22.1093750000,0,5122.1796875000,2066.5385742188,7278.5898437500,6710.3847656250,3753.0769042969,3998.2050781250,4157.4360351563,4317.4360351563,4727.3076171875,7739.8715820313,7456.2822265625,4794.3588867188,8031.0258789063,3980.0000000000,2566.9230957031,4356.2822265625,,,
22.1171875000,0,7711.5385742188,2881.7949218750,3708.4614257813,5098.7177734375,96.0256347656,4365.1284179688,6290.2563476563,5230.7690429688,1622.1794433594,5323.9741210938,960.7692260742,3183.5898437500,7837.4360351563,2096.9230957031,2139.7436523438,75.7692184448,,,
22.1250000000,0,7481.2822265625,2725.2563476563,4743.4614257813,6816.0258789063,2293.5898437500,6379.7436523438,7612.6923828125,2214.3588867188,4720.8974609375,5845.8974609375,3220.1281738281,6798.0771484375,3967.9487304688,4218.9741210938,3844.7436523438,1491.2821044922,,,
22.1328125000,0,8396.4101562500,4756.9228515625,859.2307739258,4076.6667480469,1158.4615478516,7846.2822265625,4374.1025390625,5957.5639648438,2744.2307128906,7316.0258789063,5181.2822265625,156.6666564941,5055.0000000000,6657.5639648438,901.2820434570,7083.0771484375,,,
22.1406250000,0,8225.3847656250,8341.1542968750,7080.5126953125,2394.1025390625,6483.4614257813,1552.8205566406,1157.9487304688,4661.1538085938,5474.3588867188,2313.4614257813,4704.7436523438,6259.1025390625,6592.6923828125,7367.3076171875,2715.8974609375,6221.0258789063,,,
