Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
705.0000000000,0,8168.5898437500,7039.8715820313,5091.6665039063,6310.3847656250,8398.0771484375,5547.1796875000,5741.5385742188,4995.2563476563,6236.2822265625,374.6153869629,6065.1284179688,5567.6923828125,3151.9230957031,8047.8203125000,6016.5385742188,6190.6411132813,,,
705.0078125000,0,6140.5126953125,7019.1025390625,4479.6152343750,5350.2563476563,7912.0512695313,381.6666564941,32.5640945435,1770.0000000000,10.1281957626,6295.6411132813,693.7179565430,6862.4360351563,6350.7690429688,4925.0000000000,1297.8205566406,6832.9487304688,,,
705.0156250000,0,4182.8203125000,7258.9746093750,3571.5385742188,3770.3845214844,783.9743652344,6150.7690429688,118.0769119263,1145.2563476563,6365.3847656250,3722.3076171875,3175.2563476563,7296.2822265625,770.0000000000,852.0512695313,8290.7695312500,1662.6922607422,,,
705.0234375000,0,4886.2822265625,552.8204956055,3746.7949218750,8237.9482421875,686.4102783203,7792.1796875000,4606.4101562500,8377.4355468750,720.6409912109,1192.9487304688,5123.5898437500,5543.2050781250,6413.0771484375,6328.7177734375,5350.0000000000,6540.8974609375,,,
705.0312500000,0,6311.2822265625,7005.0000000000,8032.1796875000,47.6922988892,1696.5384521484,2316.6667480469,725.3845825195,1772.8205566406,5999.6152343750,3006.1538085938,482.5640869141,7129.4873046875,7393.8461914063,1272.8205566406,8175.8974609375,8105.2563476563,,,
705.0390625000,0,824.8717651367,1346.2821044922,3983.5898437500,7935.0000000000,2091.0256347656,1819.1025390625,1899.3590087891,4586.9228515625,988.5897216797,3131.0256347656,1920.0000000000,945.2564086914,7284.8715820313,3383.4614257813,868.4615478516,7315.1284179688,,,
705.0468750000,0,2469.2307128906,158.3333282471,5626.0258789063,1940.2563476563,2770.2563476563,7791.9228515625,6786.0258789063,2037.0512695313,8033.5898437500,6921.0258789063,1716.7949218750,8154.2309570313,6669.3588867188,6427.4360351563,4876.4101562500,6546.1538085938,,,
705.0546875000,0,5582.9487304688,7338.0771484375,7238.5898437500,8018.7177734375,3623.8461914063,2761.5385742188,8352.0517578125,5784.1025390625,6649.6152343750,1748.5897216797,8024.3588867188,5036.1538085938,3197.1794433594,1132.8205566406,889.8717651367,4129.4873046875,,,
705.0625000000,0,8126.9228515625,1858.5897216797,3623.7180175781,1813.2050781250,3375.7692871094,5295.0000000000,5119.8715820313,515.5128173828,3161.6667480469,6956.5385742188,8210.7695312500,4031.5385742188,1759.4871826172,1224.3590087891,6262.0512695313,7655.2563476563,,,
705.0703125000,0,3706.1538085938,2127.8205566406,2166.7949218750,6509.3588867188,4750.0000000000,7854.7436523438,4384.8715820313,3547.4357910156,5611.7949218750,2813.2050781250,6482.9487304688,4386.7949218750,6831.7949218750,4554.4873046875,6450.8974609375,7651.2822265625,,,
705.0781250000,0,354.8717956543,978.9743652344,7348.2050781250,3545.0000000000,8142.4360351563,3399.3588867188,4856.9228515625,2570.0000000000,5328.9741210938,4940.7690429688,8192.8203125000,1426.0256347656,1301.9230957031,2279.2307128906,4556.4101562500,3487.1794433594,,,
705.0859375000,0,2934.6154785156,2450.8974609375,3712.6923828125,8045.8974609375,151.5384521484,4791.1538085938,8377.0517578125,7930.6411132813,2299.7436523438,3042.6923828125,6397.9487304688,3399.8718261719,1732.1794433594,3778.2050781250,3865.8974609375,7037.3076171875,,,
705.0937500000,0,6542.9487304688,6374.4873046875,6778.2050781250,1975.3846435547,1873.9743652344,3760.1281738281,8125.0000000000,1408.0769042969,5612.9487304688,6601.5385742188,2613.7180175781,7144.1025390625,8028.9746093750,2384.2307128906,3257.8205566406,974.2307739258,,,
705.1015625000,0,1274.7435302734,6731.2822265625,6771.9228515625,3533.3332519531,941.9230957031,2720.7692871094,1622.8205566406,1552.4359130859,8315.7695312500,5945.0000000000,5875.8974609375,1176.9230957031,596.7948608398,3666.9230957031,7935.1284179688,983.2051391602,,,
705.1093750000,0,2740.8974609375,4952.4360351563,4179.1025390625,1588.7178955078,1947.5640869141,4785.7690429688,1669.8718261719,5093.2050781250,4930.8974609375,2545.5126953125,5742.4360351563,454.7435913086,2592.9487304688,6341.5385742188,2257.8205566406,7917.0512695313,,,
