Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
5.0000000000,0,8370.8974609375,7009.6152343750,7430.6411132813,5363.2050781250,4165.8974609375,5296.2822265625,2918.5898437500,8297.0517578125,602.1795043945,6878.8461914063,7882.9487304688,2240.7692871094,6772.6923828125,6596.6665039063,6835.1284179688,8215.8974609375,,,
5.0078125000,0,4331.2822265625,8221.9228515625,3512.1794433594,6296.4101562500,6136.6665039063,6834.8715820313,5020.5126953125,1117.8205566406,1804.2307128906,1504.1025390625,5207.4360351563,5462.8203125000,117.5640945435,4730.7690429688,3755.1281738281,810.5128173828,,,
5.0156250000,0,5693.4614257813,6688.5898437500,6867.0512695313,6100.8974609375,3966.6667480469,2907.9487304688,6422.6923828125,2662.5642089844,6328.5898437500,2411.5385742188,826.4102783203,7829.3588867188,3690.6411132813,2136.0256347656,2688.8461914063,5692.5639648438,,,
5.0234375000,0,5315.5126953125,7416.9228515625,6279.1025390625,4479.7436523438,7373.4614257813,4478.4614257813,2409.2307128906,6355.1284179688,4004.7436523438,4734.7436523438,5240.0000000000,7659.8715820313,8255.8974609375,1857.6922607422,6956.6665039063,4942.4360351563,,,
5.0312500000,0,1868.0769042969,6795.5126953125,2329.4870605469,6297.9487304688,4948.0771484375,7112.9487304688,4543.8461914063,6033.4614257813,4351.9228515625,4914.6152343750,5079.1025390625,3466.1538085938,3189.6154785156,5852.6923828125,2977.6923828125,4530.8974609375,,,
5.0390625000,0,8271.6669921875,1629.8718261719,1115.3846435547,6021.5385742188,4383.8461914063,4626.7949218750,3563.2050781250,7449.2309570313,4451.1538085938,7888.3334960938,4066.9230957031,7847.9487304688,3855.8974609375,4336.6665039063,3764.1025390625,2582.5642089844,,,
5.0468750000,0,73.9743499756,2597.5642089844,2635.1281738281,1613.3333740234,7654.7436523438,3019.3588867188,2212.8205566406,4031.6667480469,4787.3076171875,3079.8718261719,4628.0771484375,2858.4614257813,2363.5898437500,1540.6409912109,2375.7692871094,5247.1796875000,,,
5.0546875000,0,3767.8205566406,6834.1025390625,1316.4102783203,1040.6409912109,4871.9228515625,5876.9228515625,4358.0771484375,5396.1538085938,2072.9487304688,3872.1794433594,5130.0000000000,8369.4873046875,2418.5898437500,7679.4873046875,1260.1281738281,1459.1025390625,,,
5.0625000000,0,5391.4101562500,1374.6153564453,7968.7177734375,4653.4614257813,5842.8203125000,4119.1025390625,367.6922912598,8049.7436523438,5821.7949218750,4668.8461914063,4744.1025390625,3594.1025390625,550.3845825195,4799.8715820313,5172.1796875000,8101.5385742188,,,
5.0703125000,0,7438.8461914063,3897.3076171875,7387.9487304688,2380.7692871094,240.1281890869,2067.3076171875,8322.3076171875,2535.1281738281,4807.9487304688,6899.3588867188,8331.9228515625,1316.2821044922,6988.0771484375,4748.9741210938,7949.2309570313,2568.0769042969,,,
