Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Channel 15,Channel 16,Event Id,Event Date,Event Duration
9.0000000000,0,7910.0000000000,3901.6667480469,3555.2563476563,8278.4619140625,3097.6923828125,2102.1794433594,3071.2819824219,4357.1796875000,1406.4102783203,6092.8203125000,8125.3847656250,5985.0000000000,2165.1281738281,5553.5898437500,2993.3332519531,1383.0769042969,,,
9.0078125000,0,2879.6154785156,3140.3845214844,5554.7436523438,4841.4101562500,4332.3076171875,6374.6152343750,2779.2307128906,3147.8205566406,6835.7690429688,762.0512695313,5893.3334960938,468.4615173340,0.1281961650,7043.8461914063,5787.4360351563,5124.7436523438,,,
9.0156250000,0,5015.5126953125,8117.0512695313,7907.1796875000,6722.3076171875,2862.6923828125,6244.2309570313,5325.2563476563,1140.5128173828,485.6410217285,6271.5385742188,8290.8974609375,716.5384521484,3903.0769042969,6435.5126953125,144.3589630127,2787.6923828125,,,
9.0234375000,0,4098.2050781250,6319.6152343750,4465.2563476563,5016.0258789063,7780.0000000000,6785.8974609375,2461.0256347656,4122.4360351563,1759.3590087891,2275.3845214844,1686.1538085938,750.7692260742,3105.2563476563,712.3076782227,5297.5639648438,7152.6923828125,,,
9.0312500000,0,6538.5898437500,1074.1025390625,3341.5385742188,4969.3588867188,2809.4870605469,1996.1538085938,3066.2819824219,4805.3847656250,7836.7949218750,3103.7180175781,5040.6411132813,118.2051162720,341.6666564941,3623.0769042969,4044.3588867188,7351.9228515625,,,
9.0390625000,0,4163.4614257813,6158.7177734375,7924.6152343750,3541.5385742188,1552.3077392578,5239.8715820313,1905.2563476563,2959.4870605469,4919.4873046875,4063.3332519531,5862.5639648438,1319.8718261719,7872.8203125000,2759.6154785156,268.7179260254,2109.3588867188,,,
9.0468750000,0,3562.1794433594,1372.5640869141,8160.1284179688,3468.7180175781,6378.5898437500,8117.1796875000,8106.0258789063,2036.2821044922,2069.3588867188,5358.8461914063,7799.7436523438,1441.1538085938,3472.3076171875,1172.9487304688,7891.0258789063,7358.3334960938,,,
9.0546875000,0,946.9230957031,4063.3332519531,5466.4101562500,2236.5385742188,7655.6411132813,672.9487304688,3791.5385742188,2637.1794433594,7059.1025390625,4738.2050781250,1230.8974609375,3206.2819824219,8035.5126953125,5646.2822265625,3391.5385742188,549.3589477539,,,
9.0625000000,0,3900.2563476563,4820.1284179688,5616.6665039063,7239.7436523438,5549.2309570313,3594.1025390625,2962.1794433594,4293.3334960938,3327.4357910156,3587.1794433594,2756.2819824219,6494.7436523438,3401.1538085938,286.7948608398,7747.5639648438,4428.7177734375,,,
9.0703125000,0,1628.7178955078,1213.8461914063,7838.9746093750,1511.7949218750,2668.5898437500,5032.4360351563,5521.9228515625,28.2051200867,1201.5384521484,6630.6411132813,1643.2050781250,962.8204956055,3928.9743652344,1813.3333740234,5544.6152343750,8160.6411132813,,,
9.0781250000,0,7935.0000000000,1667.1794433594,5050.5126953125,5251.6665039063,919.1025390625,1924.1025390625,3262.0512695313,4649.6152343750,5877.0512695313,3228.4614257813,2516.1538085938,132.6923065186,3298.8461914063,4236.1538085938,5538.9741210938,7850.0000000000,,,
9.0859375000,0,3158.0769042969,3209.6154785156,7380.2563476563,4837.6923828125,8302.1796875000,3926.4101562500,3668.3332519531,4725.6411132813,5370.1284179688,2367.3076171875,443.3333129883,8138.9746093750,1873.8461914063,5535.8974609375,3844.1025390625,7224.2309570313,,,
