Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Channel 15,Channel 16,Event Id,Event Date,Event Duration
12.9999999998,0,50.7692222595,376.9230651855,1267.1794433594,5578.8461914063,6657.9487304688,15.7692222595,2289.1025390625,1988.2050781250,3079.7436523438,2370.8974609375,4236.0258789063,7872.1796875000,3853.4614257813,7151.1538085938,7806.4101562500,7109.1025390625,,,
13.0078124998,0,5784.3588867188,244.7435760498,3442.3076171875,311.7948608398,278.8461303711,1464.3590087891,3241.5385742188,652.5640869141,1306.2821044922,47.4358901978,4012.4357910156,7089.1025390625,1675.8974609375,4556.7949218750,4293.2050781250,1639.7435302734,,,
13.0156249998,0,7275.5126953125,7406.5385742188,871.6666870117,4082.4357910156,5927.9487304688,5315.7690429688,5964.6152343750,6404.4873046875,567.8204956055,1079.8718261719,2166.6667480469,6606.1538085938,4388.7177734375,1933.8461914063,7254.8715820313,4900.6411132813,,,
13.0234374998,0,7394.1025390625,8392.9482421875,6421.9228515625,3499.3588867188,3797.1794433594,6065.8974609375,5712.9487304688,2009.4871826172,3774.6154785156,6183.4614257813,7432.9487304688,567.6923217773,5865.5126953125,2291.4101562500,4061.5385742188,1079.1025390625,,,
13.0312499998,0,3898.5898437500,3783.3332519531,475.5128173828,3013.4614257813,5377.3076171875,8241.0253906250,4617.8203125000,5939.4873046875,2508.9743652344,6166.0258789063,5729.6152343750,4382.3076171875,6789.4873046875,5110.6411132813,6473.5898437500,856.7948608398,,,
13.0390624998,0,8237.1796875000,5187.9487304688,3940.0000000000,3467.3076171875,6424.2309570313,1030.6409912109,4567.1796875000,6594.1025390625,7320.2563476563,2694.7436523438,1815.3846435547,2403.5898437500,3533.3332519531,4953.4614257813,788.8461303711,1780.6409912109,,,
13.0468749998,0,5283.8461914063,4185.8974609375,5989.4873046875,6530.6411132813,3036.1538085938,6769.7436523438,6734.4873046875,2505.8974609375,6029.4873046875,5565.5126953125,2563.0769042969,5251.7949218750,7006.0258789063,6959.3588867188,1016.1538696289,7272.4360351563,,,
13.0546874998,0,7727.4360351563,1992.4359130859,3407.1794433594,7357.8203125000,1841.0256347656,2243.2050781250,6394.7436523438,4925.6411132813,1102.1794433594,7915.5126953125,2050.1281738281,736.1538085938,2417.1794433594,2237.3076171875,2258.2050781250,478.2051086426,,,
13.0624999998,0,8.8461446762,1178.7178955078,979.7435913086,308.4615173340,8141.6665039063,3724.2307128906,7001.1538085938,2758.0769042969,388.9743652344,7022.3076171875,4167.6923828125,3014.2307128906,26.5384521484,2310.7692871094,4882.9487304688,7131.1538085938,,,
13.0703124998,0,4324.3588867188,7997.1796875000,596.1538085938,7516.5385742188,5591.7949218750,1130.6409912109,3400.2563476563,4532.6923828125,6343.7177734375,7561.2822265625,1015.0000000000,2379.1025390625,7766.1538085938,3175.1281738281,3012.4357910156,1534.2307128906,,,
