Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Channel 15,Channel 16,Event Id,Event Date,Event Duration
6.0000000000,0,28.0769138336,5055.5126953125,4954.8715820313,2614.1025390625,6274.7436523438,8332.0517578125,8212.0517578125,1683.8461914063,1345.2563476563,5350.3847656250,1163.4615478516,4527.8203125000,5702.3076171875,7380.7690429688,1491.9230957031,6012.4360351563,,,
6.0078125000,0,6019.3588867188,1270.7691650391,675.1281738281,955.7692260742,7482.5639648438,4904.3588867188,1507.0512695313,6148.9741210938,7633.3334960938,135.5128173828,6846.7949218750,5670.0000000000,1606.2821044922,3496.5385742188,7996.7949218750,3798.0769042969,,,
6.0156250000,0,4113.9741210938,6585.3847656250,474.1025695801,7314.7436523438,7901.5385742188,677.3076782227,487.0512695313,3570.5129394531,5441.6665039063,548.5897216797,2583.9743652344,8394.4873046875,844.2307739258,7379.7436523438,772.4359130859,4304.8715820313,,,
6.0234375000,0,2535.1281738281,7370.2563476563,1891.5384521484,3252.8205566406,6950.7690429688,1216.2821044922,4368.8461914063,1088.3333740234,4742.8203125000,3107.0512695313,1232.4359130859,2016.4102783203,1795.0000000000,466.0256347656,7596.6665039063,1485.3846435547,,,
6.0312500000,0,5869.8715820313,6694.1025390625,7769.8715820313,5226.9228515625,6708.8461914063,6618.8461914063,3424.7436523438,2817.9487304688,5406.6665039063,6915.5126953125,874.1025390625,2943.4614257813,4145.7690429688,5052.0512695313,6749.2309570313,1246.7949218750,,,
6.0390625000,0,2775.2563476563,7911.1538085938,3983.9743652344,7852.8203125000,1700.1281738281,3236.4101562500,178.4615325928,1516.0256347656,7251.7949218750,1415.7691650391,5816.2822265625,1889.1025390625,1096.6666259766,6078.0771484375,5723.3334960938,5290.6411132813,,,
6.0468750000,0,3536.6667480469,2493.4614257813,2697.4357910156,4912.6923828125,7161.9228515625,8360.1279296875,2972.1794433594,7400.3847656250,5861.4101562500,72.3076858521,5156.5385742188,6464.1025390625,7771.2822265625,272.0512695313,726.2820434570,6989.7436523438,,,
6.0546875000,0,5260.2563476563,1547.6922607422,448.2051086426,7772.3076171875,657.4359130859,4841.7949218750,3025.5129394531,4285.2563476563,2233.3332519531,24.2307605743,5678.5898437500,4776.0258789063,3248.5898437500,415.3846130371,5428.4614257813,2686.2819824219,,,
6.0625000000,0,4531.7949218750,2572.9487304688,1948.7178955078,6539.7436523438,1648.8461914063,1740.2563476563,7944.8715820313,6768.9741210938,25.3846073151,8288.3330078125,7525.3847656250,4304.2309570313,8144.6152343750,7256.5385742188,7286.0258789063,3932.9487304688,,,
6.0703125000,0,4509.2309570313,7531.4101562500,817.8204956055,5063.0771484375,6448.3334960938,4001.4101562500,6245.7690429688,4339.7436523438,7282.1796875000,6528.0771484375,6537.9487304688,159.3589630127,4111.2822265625,5631.5385742188,804.6153564453,6202.1796875000,,,
6.0781250000,0,7371.6665039063,7405.2563476563,2563.0769042969,5348.7177734375,2795.1281738281,502.6922912598,2818.5898437500,4898.2050781250,1619.1025390625,3146.5385742188,4193.7177734375,2257.0512695313,1854.2307128906,4538.4614257813,553.4615478516,5618.9741210938,,,
6.0859375000,0,691.6666870117,3802.1794433594,1149.4871826172,3721.4101562500,1527.9487304688,7360.8974609375,6907.5639648438,5485.2563476563,2335.1281738281,1412.5640869141,5972.9487304688,2420.5126953125,1038.3333740234,4838.9741210938,7202.3076171875,1988.2050781250,,,
6.0937500000,0,2776.9230957031,2291.7949218750,5312.8203125000,1861.4102783203,2887.6923828125,8399.6152343750,3264.8718261719,2322.0512695313,6346.9228515625,3722.0512695313,5040.7690429688,2934.7436523438,7796.6665039063,7515.5126953125,5170.6411132813,591.5384521484,,,
6.1015625000,0,6066.1538085938,4184.1025390625,6234.4873046875,4177.9487304688,5378.9741210938,2605.0000000000,4331.9228515625,3762.3076171875,4609.4873046875,6604.7436523438,1596.4102783203,4027.6923828125,527.8204956055,7446.6665039063,2837.8205566406,7572.5639648438,,,
6.1093750000,0,6214.2309570313,7898.9746093750,6490.2563476563,5594.7436523438,4461.0258789063,624.6153564453,5246.9228515625,1892.5640869141,4580.2563476563,4187.3076171875,754.8717651367,6811.4101562500,2405.3845214844,2085.1281738281,8370.8974609375,6983.2050781250,,,
6.1171875000,0,8384.6152343750,3940.7692871094,1414.6153564453,8170.1284179688,2547.1794433594,2206.1538085938,6741.7949218750,2871.0256347656,7720.1284179688,6617.3076171875,2969.6154785156,6508.8461914063,6902.1796875000,5504.7436523438,5744.6152343750,4399.6152343750,,,
6.1250000000,0,7629.7436523438,4442.9487304688,2576.0256347656,3428.3332519531,4235.7690429688,3486.6667480469,3452.4357910156,2413.5898437500,5241.2822265625,8052.3076171875,5000.7690429688,8385.5126953125,1166.9230957031,7964.6152343750,901.2820434570,6699.4873046875,,,
6.1328125000,0,396.7948608398,4327.8203125000,3098.2050781250,7051.5385742188,5829.7436523438,636.7948608398,2747.8205566406,6355.2563476563,7962.4360351563,6080.0000000000,4189.6152343750,3586.5385742188,3670.1281738281,5042.1796875000,4555.3847656250,7704.8715820313,,,
6.1406250000,0,3601.9230957031,3911.2819824219,1788.3333740234,1631.6666259766,4925.3847656250,2115.2563476563,7192.0512695313,8034.2309570313,4078.8461914063,7055.7690429688,273.4615173340,2958.8461914063,6666.1538085938,1654.3590087891,6602.9487304688,6779.4873046875,,,
6.1484375000,0,5084.7436523438,1080.3846435547,6124.1025390625,4889.3588867188,4343.7177734375,3360.0000000000,3180.8974609375,591.2820434570,5008.8461914063,2267.3076171875,7340.0000000000,537.1795043945,536.5384521484,7390.1284179688,3812.9487304688,705.5128173828,,,
6.1562500000,0,682.5640869141,5928.8461914063,1986.6666259766,3424.4870605469,372.6922912598,4697.6923828125,104.6153793335,7386.0258789063,918.4615478516,3011.0256347656,5828.7177734375,1094.7435302734,2561.0256347656,4478.2050781250,7775.3847656250,7484.2309570313,,,
6.1640625000,0,1980.0000000000,239.9999847412,1612.0512695313,6506.7949218750,2178.9743652344,680.1281738281,248.8461456299,8380.7695312500,8227.6923828125,3894.8718261719,3193.2050781250,6349.4873046875,6041.4101562500,3341.5385742188,2913.4614257813,379.6153869629,,,
6.1718750000,0,6064.1025390625,4947.4360351563,5512.0512695313,3343.8461914063,5104.3588867188,8400.1279296875,4675.0000000000,7942.3076171875,5491.9228515625,4396.2822265625,4112.6923828125,1078.9743652344,6237.4360351563,6515.7690429688,6442.9487304688,7361.1538085938,,,
