Time:512Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Event Id,Event Date,Event Duration
29.0000000000,0,0.4364189506,0.8218656778,-2.3720304966,2.1074488163,,,
29.0019531250,0,0.2968969047,1.0205047131,-2.6468665600,2.4805493355,,,
29.0039062500,0,0.1622176915,1.1787531376,-2.7907459736,2.5873956680,,,
29.0058593750,0,0.0345367752,1.2833346128,-2.7779538631,2.4192802906,,,
29.0078125000,0,-0.0841219872,1.3247499466,-2.6063880920,2.0410265923,,,
29.0097656250,0,-0.1919017881,1.2979460955,-2.2979135513,1.5730432272,,,
29.0117187500,0,-0.2871453166,1.2026751041,-1.8949886560,1.1581634283,,,
29.0136718750,0,-0.3684237301,1.0435179472,-1.4540848732,0.9223520160,,,
29.0156250000,0,-0.4345615208,0.8295717835,-1.0369299650,0.9400573373,,,
29.0175781250,0,-0.4846571386,0.5738208890,-0.7009329200,1.2137001753,,,
29.0195312500,0,-0.5180986524,0.2922380567,-0.4902858734,1.6729247570,,,
29.0214843750,0,-0.5345743299,0.0026760080,-0.4291263819,2.1938178539,,,
29.0234375000,0,-0.5340781212,-0.2763717473,-0.5178258419,2.6328279972,,,
29.0253906250,0,-0.5169095397,-0.5270553231,-0.7329816222,2.8660893440,,,
29.0273437500,0,-0.4836683571,-0.7334079742,-1.0311137438,2.8233742714,,,
29.0292968750,0,-0.4352441132,-0.8824549913,-1.3554905653,2.5073673725,,,
29.0312500000,0,-0.3728002608,-0.9651133418,-1.6450192928,1.9929797649,,,
29.0332031250,0,-0.2977537513,-0.9768214226,-1.8438166380,1.4068896770,,,
29.0351562500,0,-0.2117501348,-0.9178526998,-1.9099695683,0.8929174542,,,
29.0371093750,0,-0.1166345701,-0.7932931781,-1.8221192360,0.5727238059,,,
29.0390625000,0,-0.0144194104,-0.6126832366,-1.5828444958,0.5125998855,,,
29.0410156250,0,0.0927511752,-0.3893492520,-1.2183164358,0.7054521441,,,
29.0429687500,0,0.2026388943,-0.1394716352,-0.7742775679,1.0729167461,,,
29.0449218750,0,0.3129506111,0.1190459207,-0.3089722395,1.4870227575,,,
29.0468750000,0,0.4213787615,0.3678270876,0.1158714518,1.8054652214,,,
29.0488281250,0,0.5256417990,0.5893060565,0.4446037412,1.9108194113,,,
29.0507812500,0,0.6235243678,0.7679538131,0.6362702250,1.7429461479,,,
29.0527343750,0,0.7129161954,0.8913622499,0.6709416509,1.3157055378,,,
