Time:256Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Channel 15,Channel 16,Event Id,Event Date,Event Duration
10.0000000000,0,-977386688.0000000000,-1314653824.0000000000,8450627.0000000000,-203562432.0000000000,121178952.0000000000,783223104.0000000000,1332527744.0000000000,-1539205504.0000000000,-757060288.0000000000,-1533954944.0000000000,1560182656.0000000000,-1422239104.0000000000,-548244928.0000000000,1992459904.0000000000,-1863404672.0000000000,-204629952.0000000000,,,
10.0039062500,0,-1536097152.0000000000,702530112.0000000000,-1757451392.0000000000,-1977746304.0000000000,-433387200.0000000000,-1640980096.0000000000,1767958144.0000000000,234027584.0000000000,1990388864.0000000000,1984101504.0000000000,-644757952.0000000000,-1309474432.0000000000,231913024.0000000000,-1756390784.0000000000,1211329408.0000000000,-641086912.0000000000,,,
10.0078125000,0,436510784.0000000000,1330395776.0000000000,995737152.0000000000,1985134464.0000000000,-2083227520.0000000000,-647167680.0000000000,1440050048.0000000000,-976343488.0000000000,-670481856.0000000000,1881771392.0000000000,664180544.0000000000,-115990208.0000000000,-1873880192.0000000000,128569160.0000000000,-329252288.0000000000,1330440064.0000000000,,,
10.0117187500,0,347801664.0000000000,-327377600.0000000000,1551823744.0000000000,10506821.0000000000,-102854072.0000000000,663104576.0000000000,670462016.0000000000,1647812736.0000000000,-1745905024.0000000000,-1628405376.0000000000,-642122432.0000000000,-670440128.0000000000,1339327104.0000000000,1984093824.0000000000,-422346432.0000000000,1332506496.0000000000,,,
10.0156250000,0,-1754276224.0000000000,877196864.0000000000,1340906624.0000000000,1290547328.0000000000,-206703552.0000000000,-1756906624.0000000000,872976704.0000000000,2106324352.0000000000,-2091590272.0000000000,-1878068352.0000000000,-980487360.0000000000,-1096429184.0000000000,-1419069056.0000000000,1001479744.0000000000,-1659356800.0000000000,-419721152.0000000000,,,
10.0195312500,0,1551819904.0000000000,-1976748672.0000000000,-215136960.0000000000,452202816.0000000000,-1194580864.0000000000,-883451328.0000000000,-977382848.0000000000,-422862272.0000000000,224064064.0000000000,1334625664.0000000000,-1878590592.0000000000,348878144.0000000000,1989865344.0000000000,989946944.0000000000,-1633149824.0000000000,1430107776.0000000000,,,
10.0234375000,0,-321063360.0000000000,-1869182592.0000000000,-1098525824.0000000000,-1199818624.0000000000,1882785664.0000000000,446469184.0000000000,-872968128.0000000000,1218666368.0000000000,-102364600.0000000000,875070784.0000000000,1555986816.0000000000,896055360.0000000000,-1203988096.0000000000,222988864.0000000000,-1207654016.0000000000,-2088437632.0000000000,,,
10.0273437500,0,1895402112.0000000000,-202546880.0000000000,558219072.0000000000,-541951168.0000000000,-1756420992.0000000000,289100096.0000000000,-106525112.0000000000,1889639552.0000000000,-1201870976.0000000000,-1967264384.0000000000,2105788032.0000000000,-216187840.0000000000,1208162688.0000000000,993123392.0000000000,-756020928.0000000000,-1878612352.0000000000,,,
10.0312500000,0,1006220352.0000000000,-1411745664.0000000000,-2093684352.0000000000,781144384.0000000000,-1421185664.0000000000,1660406656.0000000000,2097884544.0000000000,-2088498560.0000000000,1431677056.0000000000,-1431659392.0000000000,1336710784.0000000000,1774225024.0000000000,994378304.0000000000,-983691968.0000000000,1341933696.0000000000,782178624.0000000000,,,
10.0351562500,0,-1325201792.0000000000,1442683776.0000000000,-1092255872.0000000000,-1529784192.0000000000,-539622848.0000000000,1986143616.0000000000,-2087414912.0000000000,-102315192.0000000000,1894374272.0000000000,1221840256.0000000000,1117422464.0000000000,1214972288.0000000000,4981062.0000000000,-116470712.0000000000,-1539178624.0000000000,-786407104.0000000000,,,
