Time:512Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Event Id,Event Date,Event Duration
28.0000000000,0,-2.4652042389,0.7078313231,-0.5940611362,-1.6139752865,,,
28.0019531250,0,-2.5044939518,0.5139670968,-0.2542333603,-1.7433334589,,,
28.0039062500,0,-2.5267546177,0.2791595459,0.0046033668,-1.6058548689,,,
28.0058593750,0,-2.5313866138,0.0192830488,0.1387071460,-1.2703788280,,,
28.0078125000,0,-2.5180919170,-0.2479035407,0.1243558526,-0.8595466614,,,
28.0097656250,0,-2.4868783951,-0.5039954782,-0.0384249203,-0.5159494281,,,
28.0117187500,0,-2.4380598068,-0.7312260866,-0.3258360028,-0.3628130555,,,
28.0136718750,0,-2.3722512722,-0.9137069583,-0.6939850450,-0.4699964523,,,
28.0156250000,0,-2.2903575897,-1.0385370255,-1.0857000351,-0.8346248269,,,
28.0175781250,0,-2.1935586929,-1.0967040062,-1.4394150972,-1.3816673756,,,
28.0195312500,0,-2.0832879543,-1.0837146044,-1.6987437010,-1.9843032360,,,
28.0214843750,0,-1.9612088203,-0.9999107718,-1.8212503195,-2.4984951019,,,
28.0234375000,0,-1.8291841745,-0.8504478931,-1.7850518227,-2.8022983074,,,
28.0253906250,0,-1.6892453432,-0.6449387670,-1.5922223330,-2.8291306496,,,
28.0273437500,0,-1.5435557365,-0.3967864811,-1.2684708834,-2.5858891010,,,
28.0292968750,0,-1.3943737745,-0.1222532317,-0.8591410518,-2.1509466171,,,
28.0312500000,0,-1.2440130711,0.1606694907,-0.4221574664,-1.6525824070,,,
28.0332031250,0,-1.0948027372,0.4335114658,-0.0190157611,-1.2337528467,,,
28.0351562500,0,-0.9490461349,0.6786071658,0.2947789431,-1.0128655434,,,
28.0371093750,0,-0.8089811802,0.8803228736,0.4783371091,-1.0513018370,,,
28.0390625000,0,-0.6767412424,1.0261418819,0.5117293596,-1.3365924358,,,
28.0410156250,0,-0.5543180108,1.1075320244,0.3990628719,-1.7858558893,,,
28.0429687500,0,-0.4435269237,1.1205351353,0.1678103358,-2.2685580254,,,
28.0449218750,0,-0.3459753096,1.0660374165,-0.1355037093,-2.6423532963,,,
28.0468750000,0,-0.2630348802,0.9497015476,-0.4525872767,-2.7921860218,,,
28.0488281250,0,-0.1958176196,0.7815661430,-0.7225011587,-2.6619317532,,,
28.0507812500,0,-0.1451566219,0.5753388405,-0.8911942840,-2.2699084282,,,
28.0527343750,0,-0.1115918085,0.3474344611,-0.9199688435,-1.7040036917,,,
28.0546875000,0,-0.0953605920,0.1158234999,-0.7915564179,-1.0977525711,,,
28.0566406250,0,-0.0963940024,-0.1012275517,-0.5128586292,-0.5939198732,,,
28.0585937500,0,-0.1143181249,-0.2864369452,-0.1139250323,-0.3055681586,,,
28.0605468750,0,-0.1484608352,-0.4247196615,0.3566730022,-0.2852781415,,,
28.0625000000,0,-0.1978638619,-0.5042462945,0.8393515944,-0.5109562278,,,
28.0644531250,0,-0.2612997293,-0.5172751546,1.2727379799,-0.8921162486,,,
28.0664062500,0,-0.3372935355,-0.4606990218,1.6031720638,-1.2949126959,,,
28.0683593750,0,-0.4241489470,-0.3362691700,1.7930060625,-1.5790611506,,,
28.0703125000,0,-0.5199782252,-0.1504802704,1.8264099360,-1.6365267038,,,
28.0722656250,0,-0.6227354407,0.0858753175,1.7117787600,-1.4213725328,,,
28.0742187500,0,-0.7302525640,0.3584529757,1.4803671837,-0.9625887871,,,
28.0761718750,0,-0.8402775526,0.6503491402,1.1813642979,-0.3563804626,,,
28.0781250000,0,-0.9505141973,0.9432727695,0.8741754889,0.2599712908,,,
28.0800781250,0,-1.0586624146,1.2188143730,0.6191152334,0.7455147505,,,
28.0820312500,0,-1.1624588966,1.4597221613,0.4679589272,0.9940493703,,,
28.0839843750,0,-1.2597168684,1.6510992050,0.4558269680,0.9630350471,,,
28.0859375000,0,-1.3483643532,1.7814346552,0.5956649184,0.6850686073,,,
28.0878906250,0,-1.4264813662,1.8434007168,0.8761798143,0.2587823272,,,
28.0898437500,0,-1.4923330545,1.8343569040,1.2635542154,-0.1783382148,,,
28.0917968750,0,-1.5444005728,1.7565281391,1.7066714764,-0.4877669215,,,
28.0937500000,0,-1.5814080238,1.6168435812,2.1450381279,-0.5680152774,,,
28.0957031250,0,-1.6023448706,1.4264475107,2.5181708336,-0.3825394809,,,
28.0976562500,0,-1.6064839363,1.1999168396,2.7749831676,0.0301734805,,,
28.0996093750,0,-1.5933941603,0.9542391896,2.8817150593,0.5671048164,,,
28.1015625000,0,-1.5629488230,0.7076231837,2.8271648884,1.0889117718,,,
28.1035156250,0,-1.5153272152,0.4782238305,2.6244122982,1.4581124783,,,
28.1054687500,0,-1.4510124922,0.2828719616,2.3087644577,1.5767838955,,,
28.1074218750,0,-1.3707830906,0.1358962208,1.9322420359,1.4134392738,,,
28.1093750000,0,-1.2756990194,0.0481199063,1.5554676056,1.0117194653,,,
28.1113281250,0,-1.1670843363,0.0261024386,1.2382175922,0.4785141647,,,
28.1132812500,0,-1.0465029478,0.0716785789,1.0301108360,-0.0452300012,,,
28.1152343750,0,-0.9157328010,0.1818273515,0.9628822803,-0.4230177999,,,
28.1171875000,0,-0.7767336369,0.3488799334,1.0454474688,-0.5600748658,,,
28.1191406250,0,-0.6316138506,0.5610519648,1.2625244856,-0.4291666746,,,
28.1210937500,0,-0.4825932980,0.8032632470,1.5770293474,-0.0778920501,,,
28.1230468750,0,-0.3319647312,1.0581873655,1.9358708858,0.3845465183,,,
28.1250000000,0,-0.1820538342,1.3074587584,2.2782425880,0.8174674511,,,
28.1269531250,0,-0.0351786092,1.5329521894,2.5451200008,1.0874717236,,,
28.1289062500,0,0.1063909084,1.7180458307,2.6884841919,1.1052163839,,,
28.1308593750,0,0.2404723316,1.8487802744,2.6788344383,0.8501188159,,,
28.1328125000,0,0.3650088906,1.9148316383,2.5098195076,0.3762195408,,,
28.1347656250,0,0.4781053662,1.9102321863,2.1992673874,-0.2024058104,,,
28.1367187500,0,0.5780609846,1.8337867260,1.7864496708,-0.7426891327,,,
28.1386718750,0,0.6633991003,1.6891574860,1.3260118961,-1.1115615368,,,
28.1406250000,0,0.7328931093,1.4846098423,0.8795084953,-1.2222095728,,,
28.1425781250,0,0.7855873108,1.2324379683,0.5058658123,-1.0576616526,,,
28.1445312500,0,0.8208138943,0.9481093884,0.2522553504,-0.6752419472,,,
28.1464843750,0,0.8382043839,0.6491889358,0.1468002200,-0.1906730682,,,
28.1484375000,0,0.8376958370,0.3541168869,0.1942493767,0.2538134158,,,
28.1503906250,0,0.8195320368,0.0809259862,0.3752937615,0.5286171436,,,
28.1523437500,0,0.7842587829,-0.1540124267,0.6496303082,0.5524313450,,,
28.1542968750,0,0.7327146530,-0.3371263146,0.9622965455,0.3146515489,,,
28.1562500000,0,0.6660156250,-0.4585852027,1.2522884607,-0.1216117665,,,
28.1582031250,0,0.5855360031,-0.5129812360,1.4621194601,-0.6367433667,,,
28.1601562500,0,0.4928838015,-0.4997017980,1.5468311310,-1.0873404741,,,
28.1621093750,0,0.3898727596,-0.4229668379,1.4810516834,-1.3454713821,,,
28.1640625000,0,0.2784903944,-0.2915297151,1.2630031109,-1.3337149620,,,
28.1660156250,0,0.1608630568,-0.1180609912,0.9148321152,-1.0463794470,,,
28.1679687500,0,0.0392186418,0.0817407221,0.4792131484,-0.5510849953,,,
28.1699218750,0,-0.0841524675,0.2902496457,0.0127521502,0.0297247805,,,
28.1718750000,0,-0.2069376260,0.4891480803,-0.4227812588,0.5522748828,,,
28.1738281250,0,-0.3268424571,0.6607103348,-0.7700284719,0.8907755613,,,
28.1757812500,0,-0.4416311383,0.7890453339,-0.9849318266,0.9717895985,,,
28.1777343750,0,-0.5491656065,0.8612115979,-1.0435556173,0.7942314744,,,
28.1796875000,0,-0.6474429369,0.8681268692,-0.9457761645,0.4295187593,,,
28.1816406250,0,-0.7346307039,0.8052083254,-0.7152659297,0.0018353823,,,
28.1835937500,0,-0.8090989590,0.6726998091,-0.3957744241,-0.3460826278,,,
28.1855468750,0,-0.8694487214,0.4756619036,-0.0442859456,-0.4922601581,,,
28.1875000000,0,-0.9145366549,0.2236267030,0.2778808773,-0.3691183329,,,
28.1894531250,0,-0.9434952140,-0.0700592324,0.5146448612,0.0177877154,,,
28.1914062500,0,-0.9557474852,-0.3891579807,0.6239143610,0.5910665393,,,
28.1933593750,0,-0.9510177374,-0.7156648636,0.5841565132,1.2224694490,,,
28.1953125000,0,-0.9293360710,-1.0310560465,0.3977604508,1.7678036690,,,
28.1972656250,0,-0.8910377622,-1.3175727129,0.0906707272,2.1062126160,,,
28.1992187500,0,-0.8367576003,-1.5594515800,-0.2916526198,2.1730606556,,,
28.2011718750,0,-0.7674187422,-1.7440160513,-0.6913172007,1.9774116278,,,
28.2031250000,0,-0.6842164993,-1.8625532389,-1.0470221043,1.5993109941,,,
28.2050781250,0,-0.5885973573,-1.9109127522,-1.3036160469,1.1676229239,,,
28.2070312500,0,-0.4822336435,-1.8897897005,-1.4207025766,0.8244937062,,,
28.2089843750,0,-0.3669942617,-1.8046674728,-1.3789497614,0.6861863136,,,
28.2109375000,0,-0.2449119240,-1.6654292345,-1.1831233501,0.8110207915,,,
28.2128906250,0,-0.1181475446,-1.4856600761,-0.8613699675,1.1832091808,,,
28.2148437500,0,0.0110477358,-1.2816938162,-0.4608620703,1.7170166969,,,
28.2167968750,0,0.1403719187,-1.0714659691,-0.0404825844,2.2801103592,,,
28.2187500000,0,0.2675125301,-0.8732566833,0.3383109570,2.7296974659,,,
28.2207031250,0,0.3901872039,-0.7044090629,0.6210208535,2.9515509605,,,
28.2226562500,0,0.5061836243,-0.5801137686,0.7685566545,2.8912258148,,,
28.2246093750,0,0.6133985519,-0.5123428106,0.7632805705,2.5689127445,,,
28.2265625000,0,0.7098743320,-0.5090092421,0.6117091775,2.0738592148,,,
28.2285156250,0,0.7938336134,-0.5734091997,0.3434510231,1.5398863554,,,
28.2304687500,0,0.8637104630,-0.7039865851,0.0065459358,1.1087129116,,,
28.2324218750,0,0.9181777835,-0.8944362998,-0.3400680125,0.8911367059,,,
28.2343750000,0,0.9561706781,-1.1341390610,-0.6357860565,0.9367144108,,,
28.2363281250,0,0.9769052863,-1.4088969231,-0.8278288841,1.2202475071,,,
28.2382812500,0,0.9798924327,-1.7019190788,-0.8795161843,1.6487782001,,,
28.2402343750,0,0.9649465084,-1.9949884415,-0.7760336995,2.0871770382,,,
28.2421875000,0,0.9321887493,-2.2697286606,-0.5267935991,2.3953084946,,,
28.2441406250,0,0.8820450902,-2.5088813305,-0.1640220433,2.4665880203,,,
28.2460937500,0,0.8152390718,-2.6975071430,0.2622078657,2.2573599815,,,
28.2480468750,0,0.7327792645,-2.8240242004,0.6917232871,1.7990456820,,,
28.2500000000,0,0.6359414458,-2.8810131550,1.0635732412,1.1897292137,,,
28.2519531250,0,0.5262467265,-2.8657333851,1.3254730701,0.5674851537,,,
28.2539062500,0,0.4054350555,-2.7803108692,1.4419000149,0.0727573484,,,
28.2558593750,0,0.2754346430,-2.6315903664,1.3995809555,-0.1899033338,,,
28.2578125000,0,0.1383285075,-2.4306552410,1.2095161676,-0.1802572906,,,
28.2597656250,0,-0.0036817875,-2.1920552254,0.9052247405,0.0668359622,,,
28.2617187500,0,-0.1483146399,-1.9327906370,0.5374858379,0.4512145221,,,
28.2636718750,0,-0.2932481468,-1.6711275578,0.1663938165,0.8351086974,,,
28.2656250000,0,-0.4361605942,-1.4253243208,-0.1480341554,1.0811405182,,,
28.2675781250,0,-0.5747709870,-1.2123589516,-0.3552352190,1.0902122259,,,
28.2695312500,0,-0.7068786621,-1.0467464924,-0.4220021665,0.8288966417,,,
28.2714843750,0,-0.8304019570,-0.9395282269,-0.3376777470,0.3388209939,,,
28.2734375000,0,-0.9434140921,-0.8975037932,-0.1158332601,-0.2745294571,,,
28.2753906250,0,-1.0441770554,-0.9227589965,0.2078305036,-0.8705216050,,,
28.2773437500,0,-1.1311715841,-1.0125231743,0.5810329914,-1.3117316961,,,
28.2792968750,0,-1.2031239271,-1.1593649387,0.9430497289,-1.5014382601,,,
28.2812500000,0,-1.2590274811,-1.3517141342,1.2341676950,-1.4099769592,,,
28.2832031250,0,-1.2981605530,-1.5746713877,1.4049869776,-1.0827354193,,,
28.2851562500,0,-1.3200988770,-1.8110522032,1.4241198301,-0.6275979877,,,
28.2871093750,0,-1.3247224092,-2.0425879955,1.2830889225,-0.1852824688,,,
28.2890625000,0,-1.3122178316,-2.2512056828,0.9976606965,0.1093000397,,,
28.2910156250,0,-1.2830744982,-2.4202923775,0.6054062843,0.1640726775,,,
28.2929687500,0,-1.2380759716,-2.5358581543,0.1598708928,-0.0449419543,,,
28.2949218750,0,-1.1782861948,-2.5875184536,-0.2777419984,-0.4670429230,,,
28.2968750000,0,-1.1050301790,-2.5692222118,-0.6480751038,-0.9907616377,,,
28.2988281250,0,-1.0198713541,-2.4796805382,-0.9028308392,-1.4744491577,,,
28.3007812500,0,-0.9245829582,-2.3224623203,-1.0122591257,-1.7851570845,,,
28.3027343750,0,-0.8211178780,-2.1057515144,-0.9697527885,-1.8351546526,,,
28.3046875000,0,-0.7115733027,-1.8417831659,-0.7928357720,-1.6060737371,,,
28.3066406250,0,-0.5981544256,-1.5459966660,-0.5203896761,-1.1540622711,,,
28.3085937500,0,-0.4831352830,-1.2359657288,-0.2065513730,-0.5945342183,,,
28.3105468750,0,-0.3688187599,-0.9301800132,0.0877678245,-0.0706916153,,,
28.3125000000,0,-0.2574960887,-0.6467627883,0.3044201732,0.2855525017,,,
28.3144531250,0,-0.1514065415,-0.4022144973,0.3971310258,0.3895446956,,,
28.3164062500,0,-0.0526979156,-0.2102690786,0.3387604058,0.2268970907,,,
28.3183593750,0,0.0366112553,-0.0809440091,0.1255857497,-0.1427740008,,,
28.3203125000,0,0.1146672815,-0.0198488794,-0.2220619619,-0.6023997664,,,
28.3222656250,0,0.1798139811,-0.0278018992,-0.6629076004,-1.0097622871,,,
28.3242187500,0,0.2306219637,-0.1007802933,-1.1411032677,-1.2366943359,,,
28.3261718750,0,0.2659137845,-0.2302083820,-1.5948691368,-1.2044299841,,,
28.3281250000,0,0.2847849131,-0.4035631716,-1.9660583735,-0.9054148197,,,
28.3300781250,0,0.2866196632,-0.6052550673,-2.2091569901,-0.4055970013,,,
28.3320312500,0,0.2711022794,-0.8177226186,-2.2983164787,0.1734317541,,,
28.3339843750,0,0.2382227331,-1.0226644278,-2.2313241959,0.6875520945,,,
28.3359375000,0,0.1882770061,-1.2023228407,-2.0298948288,1.0094162226,,,
28.3378906250,0,0.1218621880,-1.3407295942,-1.7362347841,1.0631612539,,,
28.3398437500,0,0.0398662724,-1.4248263836,-1.4064191580,0.8450247049,,,
28.3417968750,0,-0.0565472171,-1.4453824759,-1.1016081572,0.4242139757,,,
28.3437500000,0,-0.1659593582,-1.3976457119,-0.8784755468,-0.0762072802,,,
28.3457031250,0,-0.2867204547,-1.2816801071,-0.7803381681,-0.5131755471,,,
28.3476562500,0,-0.4169787169,-1.1023687124,-0.8303681612,-0.7629470229,,,
28.3496093750,0,-0.5547124743,-0.8690787554,-1.0279464722,-0.7551019192,,,
28.3515625000,0,-0.6977653503,-0.5950154662,-1.3487250805,-0.4919142723,,,
28.3535156250,0,-0.8438837528,-0.2963066697,-1.7483878136,-0.0477769561,,,
28.3554687500,0,-0.9907563329,0.0091157183,-2.1695263386,0.4511607885,,,
28.3574218750,0,-1.1360539198,0.3027606308,-2.5505573750,0.8615626693,,,
28.3593750000,0,-1.2774703503,0.5668619871,-2.8352949619,1.0622072220,,,
28.3613281250,0,-1.4127626419,0.7856125236,-2.9816865921,0.9872512221,,,
28.3632812500,0,-1.5397899151,0.9462611675,-2.9683496952,0.6443365812,,,
28.3652343750,0,-1.6565507650,1.0399976969,-2.7978959084,0.1125792637,,,
28.3671875000,0,-1.7612181902,1.0625631809,-2.4965190887,-0.4790106714,,,
28.3691406250,0,-1.8521711826,1.0145424604,-2.1099169254,-0.9867637157,,,
28.3710937500,0,-1.9280230999,0.9013203382,-1.6961778402,-1.2915847301,,,
28.3730468750,0,-1.9876457453,0.7327024341,-1.3167409897,-1.3314347267,,,
28.3750000000,0,-2.0301890373,0.5222284794,-1.0268409252,-1.1181585789,,,
28.3769531250,0,-2.0550951958,0.2862255871,-0.8669200540,-0.7340505123,,,
28.3789062500,0,-2.0621089935,0.0426673740,-0.8563508987,-0.3090976477,,,
28.3808593750,0,-2.0512816906,-0.1900814027,-0.9904428124,0.0148574580,,,
28.3828125000,0,-2.0229701996,-0.3945470750,-1.2412009239,0.1232124642,,,
28.3847656250,0,-1.9778302908,-0.5553667545,-1.5617177486,-0.0397579782,,,
28.3867187500,0,-1.9168052673,-0.6603607535,-1.8935151100,-0.4553973675,,,
28.3886718750,0,-1.8411093950,-0.7013821602,-2.1756896973,-1.0355457067,,,
28.3906250000,0,-1.7522058487,-0.6748853922,-2.3544411659,-1.6464667320,,,
28.3925781250,0,-1.6517817974,-0.5821734071,-2.3914954662,-2.1452670097,,,
28.3945312500,0,-1.5417180061,-0.4293058813,-2.2701132298,-2.4188306332,,,
28.3964843750,0,-1.4240562916,-0.2266763449,-1.9977456331,-2.4145960808,,,
28.3984375000,0,-1.3009634018,0.0117141781,-1.6049250364,-2.1547482014,,,
28.4003906250,0,-1.1746925116,0.2692348659,-1.1405625343,-1.7299325466,,,
28.4023437500,0,-1.0475447178,0.5277867913,-0.6643840671,-1.2742189169,,,
28.4042968750,0,-0.9218273759,0.7690672278,-0.2376836985,-0.9281784892,,,
28.4062500000,0,-0.7998145819,0.9758484364,0.0861666203,-0.8001936674,,,
28.4082031250,0,-0.6837066412,1.1331819296,0.2699723542,-0.9366075993,,,
