Time:512Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Event Id,Event Date,Event Duration
5.0000000000,0,0.9005079269,1.6815595627,-0.3897461295,-1.7176135778,,,
5.0019531250,0,0.8896229863,1.3781880140,-0.2887519896,-1.2289054394,,,
5.0039062500,0,0.8618221283,1.0892032385,-0.0439838059,-0.8543422818,,,
5.0058593750,0,0.8175333142,0.8318747878,0.3120443821,-0.7004233003,,,
5.0078125000,0,0.7574812770,0.6211442947,0.7290812135,-0.8105270863,,,
5.0097656250,0,0.6826749444,0.4685896933,1.1469197273,-1.1530647278,,,
5.0117187500,0,0.5943896770,0.3816242218,1.5047324896,-1.6302014589,,,
5.0136718750,0,0.4941451550,0.3629855216,1.7505046129,-2.1047556400,,,
5.0156250000,0,0.3836788833,0.4105516076,1.8490988016,-2.4379024506,,,
5.0175781250,0,0.2649154961,0.5174955130,1.7876927853,-2.5273470879,,,
5.0195312500,0,0.1399334967,0.6727683544,1.5777451992,-2.3355040550,,,
5.0214843750,0,0.0109286429,0.8618768454,1.2531825304,-1.8999605179,,,
5.0234375000,0,-0.1198243946,1.0679013729,0.8650903702,-1.3233493567,,,
5.0253906250,0,-0.2500118017,1.2726826668,0.4737351239,-0.7454118133,,,
5.0273437500,0,-0.3773211241,1.4580966234,0.1391599774,-0.3049000204,,,
5.0292968750,0,-0.4994817972,1.6073242426,-0.0881808102,-0.1017613187,,,
5.0312500000,0,-0.6143048406,1.7060335875,-0.1752900630,-0.1699655801,,,
5.0332031250,0,-0.7197211385,1.7433856726,-0.1117728800,-0.4684211910,,,
5.0351562500,0,-0.8138177991,1.7127985954,0.0885426700,-0.8924667835,,,
5.0371093750,0,-0.8948715329,1.6124140024,0.3897616863,-1.3027874231,,,
5.0390625000,0,-0.9613788128,1.4452344179,0.7395196557,-1.5638273954,,,
5.0410156250,0,-1.0120824575,1.2189217806,1.0771489143,-1.5811711550,,,
5.0429687500,0,-1.0459932089,0.9452704191,1.3431426287,-1.3276425600,,,
5.0449218750,0,-1.0624077320,0.6393923759,1.4884412289,-0.8509706855,,,
5.0468750000,0,-1.0609202385,0.3186711073,1.4820958376,-0.2609166205,,,
5.0488281250,0,-1.0414303541,0.0015568258,1.3161153793,0.3006115854,,,
5.0507812500,0,-1.0041440725,-0.2937129736,1.0067397356,0.6982668042,,,
5.0527343750,0,-0.9495710731,-0.5503779054,0.5919438601,0.8401869535,,,
5.0546875000,0,-0.8785153627,-0.7543164492,0.1255591065,0.7030170560,,,
5.0566406250,0,-0.7920612693,-0.8950236440,-0.3310718834,0.3381729424,,,
5.0585937500,0,-0.6915546060,-0.9663370848,-0.7186071873,-0.1423690766,,,
5.0605468750,0,-0.5785792470,-0.9668598175,-0.9889035225,-0.5968607664,,,
5.0625000000,0,-0.4549292922,-0.9000516534,-1.1124670506,-0.8927093744,,,
5.0644531250,0,-0.3225779533,-0.7739814520,-1.0829974413,-0.9428746700,,,
5.0664062500,0,-0.1836428195,-0.6007587910,-0.9183171988,-0.7297596931,,,
5.0683593750,0,-0.0403491408,-0.3956835866,-0.6575423479,-0.3100470603,,,
5.0703125000,0,0.1050092131,-0.1761739254,-0.3549343050,0.2008446306,,,
5.0722656250,0,0.2501097620,0.0394539125,-0.0713925436,0.6604242325,,,
5.0742187500,0,0.3926419914,0.2332674861,0.1350885183,0.9382329583,,,
5.0761718750,0,0.5303476453,0.3889733851,0.2185101956,0.9516727924,,,
5.0781250000,0,0.6610602140,0.4930577278,0.1520924419,0.6887382865,,,
5.0800781250,0,0.7827427387,0.5357325673,-0.0674966797,0.2114203870,,,
5.0820312500,0,0.8935233951,0.5116221309,-0.4195638895,-0.3611512184,,,
5.0839843750,0,0.9917279482,0.4201411903,-0.8625560999,-0.8852086067,,,
5.0859375000,0,1.0759091377,0.2655387521,-1.3404759169,-1.2315831184,,,
5.0878906250,0,1.1448718309,0.0566046275,-1.7915474176,-1.3209269047,,,
5.0898437500,0,1.1976939440,-0.1939410716,-2.1577842236,-1.1452686787,,,
5.0917968750,0,1.2337417603,-0.4703330398,-2.3939683437,-0.7699950337,,,
5.0937500000,0,1.2526820898,-0.7548583150,-2.4746420383,-0.3157194257,,,
5.0957031250,0,1.2544866800,-1.0290901661,-2.3980252743,0.0749926865,,,
5.0976562500,0,1.2394335270,-1.2751719952,-2.1862452030,0.2769191861,,,
5.0996093750,0,1.2081011534,-1.4770622253,-1.8818485737,0.2167261094,,,
5.1015625000,0,1.1613587141,-1.6216518879,-1.5411318541,-0.1067082584,,,
5.1035156250,0,1.1003504992,-1.6996796131,-1.2253369093,-0.6217622161,,,
5.1054687500,0,1.0264756680,-1.7063776255,-0.9910768867,-1.2034802437,,,
5.1074218750,0,0.9413635731,-1.6418049335,-0.8814885020,-1.7076059580,,,
5.1093750000,0,0.8468452692,-1.5108441114,-0.9194850922,-2.0099122524,,,
5.1113281250,0,0.7449207902,-1.3228627443,-1.1041648388,-2.0400531292,,,
5.1132812500,0,0.6377244592,-1.0910620689,-1.4109315872,-1.8006598949,,,
5.1152343750,0,0.5274869800,-0.8315579891,-1.7953093052,-1.3664491177,,,
5.1171875000,0,0.4164963365,-0.5622603893,-2.1998589039,-0.8635914326,,,
5.1191406250,0,0.3070574403,-0.3016266525,-2.5631163120,-0.4349938035,,,
5.1210937500,0,0.2014516741,-0.0673779249,-2.8291623592,-0.2010136396,,,
5.1230468750,0,0.1018966213,0.1247332692,-2.9563329220,-0.2263725400,,,
5.1250000000,0,0.0105071180,0.2620176971,-2.9237141609,-0.5023383498,,,
5.1269531250,0,-0.0707420185,0.3357302248,-2.7344071865,-0.9490602612,,,
5.1289062500,0,-0.1400507838,0.3416753113,-2.4150590897,-1.4374171495,,,
5.1308593750,0,-0.1958256960,0.2804950476,-2.0117294788,-1.8243916035,,,
5.1328125000,0,-0.2367079854,0.1576192677,-1.5827357769,-1.9922754765,,,
5.1347656250,0,-0.2615975142,-0.0171178877,-1.1895965338,-1.8809611797,,,
5.1367187500,0,-0.2696723044,-0.2301693708,-0.8874760270,-1.5044689178,,,
5.1386718750,0,-0.2604031563,-0.4652253389,-0.7166251540,-0.9471797347,,,
5.1406250000,0,-0.2335631400,-0.7043563724,-0.6961463094,-0.3408057094,,,
5.1425781250,0,-0.1892317683,-0.9292695522,-0.8210567236,0.1715903580,,,
5.1445312500,0,-0.1277938485,-1.1225906610,-1.0631057024,0.4746675491,,,
5.1464843750,0,-0.0499330163,-1.2690815926,-1.3752186298,0.5122625828,,,
5.1484375000,0,0.0433800966,-1.3567095995,-1.6988755465,0.3026100397,,,
5.1503906250,0,0.1509045511,-1.3774933815,-1.9732748270,-0.0668433532,,,
5.1523437500,0,0.2711506486,-1.3280657530,-2.1448538303,-0.4636074007,,,
5.1542968750,0,0.4024057090,-1.2099156380,-2.1756846905,-0.7466741800,,,
5.1562500000,0,0.5427639484,-1.0292915106,-2.0494351387,-0.8053887486,,,
5.1582031250,0,0.6901594996,-0.7967717052,-1.7739676237,-0.5900090337,,,
5.1601562500,0,0.8424024582,-0.5265347958,-1.3801716566,-0.1255779713,,,
5.1621093750,0,0.9972167611,-0.2353775650,-0.9172089100,0.4946971238,,,
5.1640625000,0,1.1522802114,0.0584493466,-0.4449130893,1.1347444057,,,
5.1660156250,0,1.3052645922,0.3365067244,-0.0245280676,1.6526758671,,,
5.1679687500,0,1.4538762569,0.5814456940,0.2907740474,1.9394320250,,,
5.1699218750,0,1.5958960056,0.7782102823,0.4641183913,1.9484336376,,,
5.1718750000,0,1.7292180061,0.9150804877,0.4806149304,1.7081164122,,,
